Store,phone,email,address
Frontier Transportation Services Inc,905-562-7272,dispatch@frontiertrucks.com,4690 Maple Grove Road Beamsville ON L0R 1B1
Spring Creek Logistics,905-563-9989 x237,csr2@springcreekcarriers.com,4695 Bartlett Rd. Beamsville ON L0R1B1
Deol Road Carrier LTD,519-992-0152,mdeol@deolroad.com,2031 County Road 42 Belle River ON N0R 1A0
Frank's Worldwide Moving Ltd.,613-962-8833,sales@franksworldwidemoving.com,110 North Front Street Suite 325 Belleville ON K8P 0A6
SM Freight Inc.,519-676-5198 1-800-810-0204,steveh@smfreight.com,25 Graham St. PO Box 403 Blenheim ON N0P 1A0
Leeming Express Van Lines,519-441-8396,rjstruthers@gmail.com,86013 Clyde Line Bluevale ON N0G1G0
Onyx Enterprises Inc,905-781-3300,walterkubiak@yahoo.ca,7 Cosdale Pl Bolton ON L7E 0C8
North American Logistic Services Inc.,905-951-1612 1-888-595-5357,vaudry@nalsi.com,49 Simpson Road Bolton ON L7E 2R6
JD Xpress Ontario Inc.,1-800-781-2299 905-951-8800,info@jdxpress.ca,2 Betomat Court Bolton ON L7E 2Y9
Stage West Express Inc.,1-877-220-7666,royn@stagewestexpress.com,2 Betomat Court Bolton ON L7E 2V9
BXL-Bon X Logistics Inc.,416-991-2669-BonX,bonx@sympatico.ca,28 Foxchase Drive Bolton ON L7E 1H7
Xpress Commercial Services Inc.,416-642-1760 1-800-642-1760,dispatch@xpresscs.com,19 Wheeler Dr. Bolton ON L7E 4H8
Cavalier Transportation Services Inc.,905-857-6981 1-800-263-2394,gledson@cavalier.ca,14091 Humber Station Road Bolton ON L7E 5T1
International Horse Transport Ltd.,905-584-2202 1-800-387-1779,email@inthorse.com,P.O Box 698 Bolton ON L7E 5T5
Service Star Freightways Inc.,905-775-1755,info@servicestar.ca,1-185 Artesian Industrial Parkway Bradford ON L3Z 3G4
Richway Inc,905-458-1237,prachi@richwayfurniture.com,200 Walker Drive Brampton ON L6T3W1
J&Sons Transport Ltd,416 708 9253,jasbirbagri@hotmail.com,1 Kelways Circle Brampton ON L6T0G6
Baba Freightline Inc.,905-915-6553,toplinklogistics@gmail.com,6 Smithville Dr Brampton ON L6P2Y5
Bay City Brokers Ltd,905-455-4777,custombrokerstoronto@gmail.com,4 Blair Dr Brampton ON L6T 2H5
Just Ship It Worldwide Logistics,905-230-5742,dispatch@justshipitlogistics.com,2880 Queen Street East Unit 4 Brampton ON L6S 6H4
MaxPro Management,905-452-9669,info@maxpromanagement.com,33-180 Wilkinson Road Brampton ON L6T 4W8
Skydome Group Of Companies,905-874-9878,skydom_auto@hotmail.com,30 Stafford Dr Brampton ON L6W 3J6
Truckers Assist,416-204-0131,assisttruckers@gmail.com,14 Automatic Dr Unit 33A Brampton ON L6S 5N5
Joint Express Inc.,416-525-8618,jointexpress@live.ca,41 Sleddog Rd Brampton ON L6R0H8
A & R Trucking Solutions Inc.,416-627-6264,surjbrar@yahoo.ca,140 Binder Twine Trail Brampton ON L6X 4V6
Five Star Insurance Brokers Ltd.,1-877-847-6263,dave@fivestarinsurance.ca,350 Rutherford Rd. South Building 2 Unit #350 Brampton ON L6W 3M3
Norseman Cartage Ltd,905-595-9988,info@norsemancartage.com,250 Summerlea Road Brampton ON L6T 3V6
Jhutty Transport Ltd.,416-623-6647,hslogistic@live.ca,17 Starhearn Ave Brampton ON L6T 4P1
Danbro Logistics Inc.,416-887-4525,DLI@Bell.Net,41 Sleddog Rd Brampton ON L6R0H8
SimConnect Freight Management,905-915-1805416-458-1805,nippy.s@hotmail.com,34 Vernet Cres Brampton ON L6P 1Z5
Superfast Freight System Inc.,905-459-2999,superfastfreight@hotmail.com,7 Tilbury Crt Brampton ON L6T 3T4
Avaal Technology Solutions,905-595-1313 1-877-995-1313,paulc@avaal.com,2 Automatic Road Unit 110 Brampton ON L6S 6K8
Punu Transport Inc.,905-451-0662,punutransportation@bellnet.ca,69 Eastern Ave Brampton ON L6W 1X9
G.E. Forwarders Ltd - G.E. Logistics Inc.,905-789-9118,frederickleung@gelogistics.ca,115 Walker Drive Brampton ON L6T 5P5
Alliance Trans Inc.,647-237-7214,alinajfi@gmail.com,146 Cherrytree Drive Brampton ON L6Y 3N8
Systems Logic,1-866-967-7226,info@warehouseinabox.com,340 Henry St. Brantford ON N3S 7V9
Ontdel Ltd.,519-759-2220,kelly@ontdel.com,PO Box 25101 RPO West Brantford ON N3T6K5
Fleetway Transport Inc,519-753-5223 800-265-1128,dispatch@fleetwaytrans.com,31 Garnet Road Brantford ON N3T 5M1
International Trade Consulting,519-761-3515,info@itcscm.com,153 Powell Road Brantford ON N3T 0E5
Peter Suess Transportation Consultant Inc,877-796-7016,sales@pstc.ca,20 Pippin Drive Brantford ON N3R 5V7
Breadner Trailers,519-648-2273,breadnertrailersales@gmail.com,5185 Fountain Street North Breslau ON N0B 1M0
Streamline Express Transportation Systems,519-441-8396,streamlineexpress01@hotmail.com,433 Albert Street Brussels ON N0G1H0
BK Logistics Inc.,519-449-2163,dispatch@bklogistics.com,297 Bishopsgate Rd. Burford ON N0E 1A0
Keith Hall & Sons Transport,N/A,info@keithhalltransport.com,Burford ON
Balanced Logistics Inc.,905-331-3696,sales@balancedlogistics.ca,5070 Benson Drive Burlington ON L7L 5N6
A Action Towing and Recovery Inc.,905-632-1502,dougmurray@aactiontowing.ca,4121 Morris Drive Burlington ON L7L5L5
ROADVision Canada,905-464-7517,duncanc@computac.com,384 Rossmore Blvd. Burlington ON L7N 1S1
DSS Trucking Services Ltd.,888-701-6389,dsheppc563@rogers.com,2211 Plains Road East Burlington ON L7R 3R3
Eden Quality Management Inc.,905-632-0002 1-888-263-3336,info@edenquality.com,305 Plains Road East Burlington ON L7T 2C7
Taylor Moving & Storage Ltd.,905-632-8010 1-888-624-3220,csrvburl@ataylormoving.com,1200 Plains Road East Burlington ON L7S 1W6
Laro Logistics Inc,519-621-9191,mlaro@larologistics.com,111 Savage Drive Cambridge ON N1T 1S5
Ontario Delivery Dispatch Ltd.,800-363-6667,cambridge@ontdel.com,425 Hespeler Road Cambridge ON N1R 8J6
Receivable Financing Group,800-808-8802,funds@receivablefinancing.ca,398 Avenue Rd Cambridge ON N1R 5S4
AMJ Campbell,1-888-265-6683 519-896-3366,amj@amjcampbell.com,1030 Fountain St. N. Cambridge ON N3H 4R7
Nuquest Integrated Services Inc.,519-620-7038,glennk@nuquestfreight.com,200 Turnbull Court Cambridge ON N1T1J2
Rapidgo Inc.,1-800-817-9080,contact@rapidgo.ca,6-425 Hespeler Rd. Suite 450 Cambridge ON N1R 8J6
Marinetrans Logistics,905-487-2023,marinetrans@live.com,23 Dalton Drive Cambridge ON N3C 0E7
Droh Inc.,519-653-1034,dispatch@drohinc.com,670 Industrial Rd. Cambridge ON N3H4V9
Mackenzie Express,519-807-1267,ontarioca1@rogers.com,40 Robert Simone Way Cambridge ON N0B 1E0
MT Logistics,519-239-6700709-765-7212,mtlogistics@nf.sympatico.ca,91 Burnett Ave Cambridge ON N1T 1J7
TowLine Transportation,519-821-2121,dispatch@towline.ca,1080 Rose St Cambridge ON N3H 2G3
McArthur Express Inc,519-740-7080,info@mcarthurexpress.com,170 Werlich Drive Cambridge ON N1T 1N6
Logikor Dedicated Logistics,519-622-8400 866-773-8400,info@logikor.com,290 Pinebush Road Cambridge ON N1T 1Z6
Management Support Network,1-800-284-5756 519-249-1305,info@mgmtnetwork.com,27 Queen Street East Cambridge ON N3C 2A7
Challenger Motor Freight Inc.,519-658-5154 1-800-265-6358,info1@challenger.com,300 Maple Grove Rd. Cambridge ON N3E 1B7
All Loads Transportation Inc.,519-622-7200 1-800-563-7200,dan@allloads.com,501 Franklin Boulevard Cambridge ON N1R 8G9
Horsepower Equine Transport,905-242-7229,horsepowertransport@hotmail.com,RR#1 Cameron ON K0M 1G0
ICE Logistics Inc,905-672-7747 1-888-201-6666,info@icelogistics.com,35 Crawford Crescent #3 PO Box 525 Campbellville ON L0P 1B0
Shomoves Inc,866-407-8881,info@shomoves.ca,71 McLaren Rd North RR#1 Campbellville ON L0P 1B0
730 Permit Services Inc.,613-657-1244,info@730permitservices.com,1245 California Avenue Cardinal ON K6V 7N5
First Air,613-839-3340,charters@firstair.ca,3257 Carp Road Carp ON K0A 1L0
Transit Trailer Ltd.,519-354-9944 1-877-995-5999,jime@transittrailer.com,22217 Bloomfield Rd. Chatham ON N7M 5J6
Tatro Equipment Sales Ltd,519-354-4352,sales@tatrotrucks.com,7744 Seventh Line Chatham ON N7M 5J6
Secure Specialized,519-504-4569,securespecialized@outlook.com,61 Allan St W Clifford ON N0G1M0
Diamond Plus Specialized,877-327-4567,diamondplus@wightman.ca,1 William St Clifford ON N0G 1M0
Cobalt Car Clinic,705-679-8500,ccc.heavytowing@gmail.com,46 Lang St. Cobalt ON P0J 1C0
Centennial Moving Systems,1-866-574-1967,sales@centennialmoving.ca,210 Willmott St. #4 Cobourg ON K9A 4W4
Northumberland County Moving Company,905-373-4668,ncmc@bellnet.ca,210 Willmott St. Cobourg ON K9A 4W4
National Shunt Services Ltd.,1-877-409-0800 905-377-9900,inquiries@nationalshunt.com,Northam Industrial Park Building 20 Unit 4 Cobourg ON K9A 4W5
S&S Forwarding,877-265-2244,max@ssforwarding.com,100 Ortona Court Concord ON L4K0A5
RTL Reliable Transportation Link,905-660-7766,cs@GoReliable.ca,31 Villarboit Cres. Concord Ontario Concord ON L4K4R2
Mr.Flatbeds Transport Inc.,905-482-7005,sales@mrflatbeds.com,163 Bowes Road Concord ON L4K 1W6
C. M. Brake Inc.,905-761-0080,roffey.b@cmbrake.com,250 Doney Crescent Concord ON L4K 3A8
Clarke Transport Inc.,905-660-0057,sales@clarketransport.com,751 Bowes Road W. Concord ON L4K 1B2
Citel Technologies Inc.,416-644-5527,voipmigration@gmail.com,151 North Rivermede Rd. Concord ON L4K0C4
Vmax Transportation Inc,905-532-9779,dispatch@vmaxtransportation.com,10 - 150 Connie Cres Concord ON L4K1L9
First Class Van Lines,1-866-480-2807,support@firstclassvanlines.net,97 Corstate Ave Concord ON L4K 4Y2
Standard Trans,647-680-7208,standard.trans@yahoo.ca,125 Bob O'link Ave Concord ON L4K 1H1
City Transfer Delivery & Logistics,289-304-8700,toronto@citytransfer.net,221 Jacob Keffer Parkway Concord ON L4K 5T9
EAGLEi GPS,905-660-8389,walter@canadianmobile.ca,200 Edgeley Unit 12 Concord ON L4K 3Y8
Ontario Container Transport Inc.,905-695-1501,dispatch@octi.ca,163 Bowes Road Concord ON L4K 1H3
AmeriFleet Transportation,800-728-9235 x 705,Terri.Stiffler@amerifleet.com,1889 Highway 7 West Concord ON L4K 1V4
Toronto Trailers,416-881-8781,info@torontotrailers.com,163 Bowes Road Concord ON L4K 1H3
Vitran Express Canada Inc.,416-798-4965 800-263-9588,webmaster@vitran.com,1201 Creditstone Road Concord ON L4K 0C2
Royal Transport Ltd.,(905)370-0470 or (905) 370-0412,info@royaltransgroup.com,207 Edgeley Blvd Unit 16 Suite 205 Concord ON L4K 4B5
G.N. Transport Ltd.,905-760-2888,info@gntransport.com,163 Bowes Road Concord ON L4K 1H3
Western Canada Express,1-800-387-3702905-738-2106416-736-7055,dheath@wcexp.com,62 Administration Rd. Concord ON L4K 2R7
Villeneuve Tank Lines & Freight,1-877-932-8265,info@villeneuvetanklines.com,850 Education Road Cornwall ON K6H 5T7
Cornwall Tire Service Ltd.,1-800-267-7191  1-613-933-1515,rochcornwalltireservice@cogeco.net,428 11th St. West Cornwall ON K6J3B8
Basler Group Inc.,1-866-330-EDGE,john@disabilitymoney.ca,18246 County Rd. 2 Cornwall ON K6H5R5
Seaway Express,613-933-8984  1-800-387-0408,bob@seawayexpress.ca,605 Boundary Road Cornwall ON K6H 6K8
Lake Erie Warehousing,519-427-9739,linem@lakeeriewarehousing.com,510 Main Street of Delhi LEW Door 20 Delhi ON N4B 3E8
Titan Trailers Inc.,519-688-4826,site,1129 Highway # 3 Delhi ON N4B 2W6
Roger's Pilot Cars,416-574-3704,rrober1829@bell.net,6 McGregor Court Dundalk ON N0C1B0
Universal Transport,647-241-9522  519-315-0466,rkb_quinn@hotmail.com,214 Daniel St Erin ON N0B 1T0
VNV Logistics Express Ltd,416-854-4431,vnv@vnvlogistics.com,30 Lockport Ave Etobicoke ON M8Z2R6
Ready To Transportation Inc.,647-284-3556,ReadyToTransport@live.ca,4 Overskate Crt Etobicoke ON M9V 4X1
TFX International Specialized Vehicle Transport,416-243-8531,tfx122858@yahoo.com,11 City View Drive Etobicoke ON M9W 5A5
Canuck Express,416-857-5525,canuck@canuckexpress.ca,34 Vansco Rd. Etobicoke ON M8Z 5J4
ATY Toronto Trailer Repair Inc.,416-244-2289,astadnik@live.com,56 McCulloch Ave Unit 2 Etobicoke ON M9W 4M6
Chargo Truckload Inc.,416-346-0305,dispatch@chargotruckload.com,110 Belfield Rd Etobicoke ON L6S 5M9
XTL Transport Inc.,416-742-0610 800-665-9318,info@xtl.com,75 Rexdale Blvd. Etobicoke ON M9W 1P1
CSA Transportation,416-754-0999,dwightn@rogers.com,355 Horner Avenue Etobicoke ON M8W 1Z7
Midnight Express & Cartage Ltd.,1-800-361-5700 416-746-5333,info@midnightexpress.ca,35 Precision Road Etobicoke ON M9W 5H3
Andlauer Transportation Services Inc.,416-614-1818,toronto@ats.ca,110 Iron Street Etobicoke ON M9W 5L9
Abacus Truck Line 1948 Ltd.,519-786-6770,info@abacustruckline.com,7882 Rawlings Road Forest ON N0N 1J0
Fyke Trading & Logistics,905-871-6607,help@fyketrading.com,33 Gilmore Rd Fort Erie ON L2A 2L
Fargo Transportation Services Ltd.,1-800-633-4073 905-873-1199,info@fargotransportation.com,106 Guelph Street Georgetown ON L7G 3Z5
Altruck International Truck Center,519-524-7379,doug.mcclinchey@altruck.com,33910 Airport Road Goderich ON N7A 4C7
TTK Transport Inc.,519-524-4331,darryl@ttktransport.com,P.O. Box 487 551 Mooney Street Goderich ON N7A 4C7
Rydex Freight Systems,416-961-7933,info@rydex.ca,P.O. Box 101 Gormley ON L0H1G0
EquiCap Leasing Ltd,1-289-259-7489,kpenev@EquiCapLeasing.ca,205 Lake Street Grimsby ON L3M 2B3
Dean Cartage Inc.,905-309-3641,deanctginc@bell.net,6 Marlow Ave Grimsby ON L3M 1Y3
Empire Transportation Ltd.,905-945-9654 1-800-263-0240,info@empiretrans.com,263 South Service Road Grimsby ON L3M 1Y6
Wide Range Transportation Services Inc.,905-643-5100 1-800-265-1975,truck@widerange.ca,689 South Service Road Grimsby ON L3M 4E8
TransReport Services Inc,519-826-4888,admin@transreportservices.com,PO Box 31007 Guelph ON N1H 8K1
Transport N Service,(519) 821-0400 (888) 505-7775,info@transportnservice.com,5075 Whitelaw Road Guelph ON N1H 6J4
Data Dis Inc.,519-837-0665,vince.bull@datadis.com,58 Camm Cres Guelph ON N1L 1K2
Trans+Plus Systems Corp.,1-800-257-9548 519-763-1725,finance@transpluscorp.com marketing@transpluscorp.com,44 Corporate Court Guelph ON N1G 5G5
Contrans Flatbed Group,877-790-1226,info@contransflatbedgroup.com,80 Third Line Hagersville ON N0A 1H0
FreightSolve,905-538-7866 574-584-4435,richard_freightsolve@hotmail.ca,Suite # 105 1266 Fennell Ave E Hamilton ON L8T 1T4
K.Y.Trans,905-383-6650,kytrans@sympatico.ca,61 Dragoon Dr. Hamilton ON L9B 2E4
LP Services,1-800-858-0754,aaron.chusing@lpservices.ca,100 Mead Ave Hamilton ON L8H 3T5
Pacex Package Express Inc.,905-527-4171,info@pacex.com,568 Beach Rd. Hamilton ON L8H 3K9
Ontario Tank Wash,1-866-283-0785,jbusche@ontariotankwash.com,500 Eastport Blvd. Hamilton ON L8H 7S4
CESAR Van & Storage,905-545-2383,reception@cesarvan.com,449 Woodward Avenue Hamilton ON L8H 6N6
Toronto Tank Lines,1-800-810-7339,jbusche@torontotanklines.com,500 Eastport Blvd. Hamilton ON L8H 7S4
Fluke Transportation Group,1-800-263-4843  905-578-0677,flukeinfo@fluke.ca,20 Warrington Street Hamilton ON L8E 3V1
Sandwood Transport Inc,705-778-7790,sandwoodtrans@xplornet.com,RR#3 Havelock ON K0L 1Z0
Simcoe Mobile Wash,705-431-6653,info@simcoemobilewash.com,1223 Gina Street Innisfil ON L9S 4Z2
Robtrans Systems Inc.,1-888-762-8726,info@robtrans.ca,2252 Bowman Street Innisfil ON L9S3V5
Arcline (2000) Inc.,705-431-2028 800-364-4905,sales@arcline2000.com,1989 Commerce Park Drive Innisfil ON L9S 4A3
Key Factor Freight Management Inc,705-431-2172,dispatch@key-factor.com,1989 Commerce Park Unit B Innisfil ON L9S 4A2
Brake Mobile Wash,905-476-5998,brake11mobile@rogers.com,24707 Woodbine Ave Unit 7 Keswick ON L4P 3C8
Mcgillion Transport Ltd,1-800-268-4620,cmcgillion@mcgilliontransport.com,3250 Lloydtown-Aurora Road Kettleby ON L0G 1J0
G.M. SMITH LIMITED,1-800-743-7474,info@gm-smith.com,P.O. Box 130 King City ON L7B 1A4
AMJ Campbell,1-888-265-6683 613-634-1040,amj@amjcampbell.com,1234 Gardiners Road Kingston ON K7P 2T5
Sirius-RM Ltd,519-591-9349,trucking.srm@gmail.com,40 Bonnylyn Drive Kitchener ON N2M 1S6
Easy Moving Solutions,519-895-0005,sales@easymoving.ca,3085 Kingsway Dr Kitchener ON N2C2P2
Steve's Moving & Storage,519-748-1305 1-800-372-5365,info@stevesmoving.ca,335 Gage Ave Kitchener ON N2M 5E1
Westmount Moving & Warehousing,519-895-1100 1-877-895-1190,info@kitchenerwaterloomovers.com,335 Gage Avenue Kitchener ON N2M 5E1
Keystone Logistics Inc (Canadian Division),519-342-6649,dkerkez@keystonelogistics.net,86 Country Clair Street Kitchener ON N2A 4M7
Becker Bros. Trucking,519-748-9202,trucking@beckerbros.ca,915 Wilson Ave. Kitchener ON N2C 1J1
Kooner Transport Group,519-465-8553,dispatch@koonertransportgroup.com,94 Hickory Hollow Cres Kitchener ON N2N1X9
TAS Transport,519-342-6649,dispatch@tas-transport.com,80 Breckenridge Drive Kitchener ON N2B2N9
Ed Wiersma Trucking Inc.,1-800-265-2449 519-745-5781,ed@wiersmatrucking.com,24 Forwell Road Kitchener ON N2B 3E8
Rideway Transport Inc.,519-741-5991 1-800-387-1478,tbrooke@rideway.com,859-A Courtland Ave. E. Kitchener ON N2C 1K4
Walter McDougall International Logistics,613-347-7791,sales@waltermcdougall.com,P.O. Box 446 Lancaster ON K0C 1N0
Load N Go Transport Inc.,519-818-7988,daveharder21@yahoo.com,11 Maynard St. Leamington ON N8H1V4
Liquid Capital Midwest,519-419-5044 1-877-653-9426,riacobelli@liquidcapitalcorp.com,176 Seacliff Drive West Leamington ON N8H 3Y5
BRK Specialized Inc,519-291-7092,brk_specialized@live.com,8613 Rd 176 Listowel ON N4W3G6
Gerry's Pilot Car,519-503-0352,gerryspilotcar@hotmail.com,. Listowel ON N0G 1B0
Northern Academy of Transportation Training,705-692-9222 1-800-719-9334,info@northernacademy.ca,25 Vagnini Court Lively ON P3Y 1K8
Patrick's Mobile Truck and Trailer Repair,5196308775,patrickraposo150@gmail.com,1825 Cherrywood Trail London ON N6H 5K1
SS&D The Movers,519-852-6683,info@themoverscanada.com,316 Conway Drive London ON N6E 3J8
Scout Logistics,855-452-7268,robert@scoutlogistics.com,2480 Huron Street London ON N5V 0B1
FLS Transportation Services,1-866-545-5538,london-ops@flstransport.com,150 Dufferin Ave. London ON N6A 5N6
Steven Keyes,519-933-3355,keyeslaw@hotmail.com,21 King Street London ON N6A 5H3
M.D. French Pilot Cars,519-472-2999 289-439-0822,debfrench@symaptico.ca,319 Southcrest Dr. London ON N6J 1N3
Agility Logistics (London),519-644-1919,jrobertson@agilitylogistics.com,1425 Max Brose Drive #8 London ON N6N 0A2
Trisec Logistic,519-668-3395 519-668-0423,steve@trisecwarehousing.com,1040 Wilton Grove Road London ON N6A 4L6
London Shunt and Trailer Transfer Inc.,519-686-7199,rickwilliamsjr@bellnet.ca,2836 Dingman Drive London ON N6N 1G4
Elgin Motor Freight,519-644-9090 1-800-567-2609,webgm@elginmotorfreight.com,1497 Wilton Grove Road London ON N6N 1M3
National Truck League,1-800-265-6509,rod.stiller@nationaltruckleague.com,910 Wilton Grove Road London ON N6N 1C7
Doug Coleman Trucking Ltd.,1-800-308-2574,dcoleman@dougcolemantrucking.com,2073 Piper Lane London ON N5V 3S5
Grandsphere Inc,343-988-6707,info@grandsphere.ca,430 Golden Springs Dr Manotick ON K4M 0B9
FMD Transportation,905-417-7574,FMDTRANSPORT@HOTMAIL.COM,Golden Forest Road Maple ON L6A 0S6
Truckersbooks,905-477-7773,sales@truckersbooks.com,4261 HWY 7 Markham ON L3R 9W6
SunTel Technologies Inc.,416-479-0505,seo@sunteltechnologies.ca,HSBC Tower Liberty Square 3601 Hwy7 East Suite 1004 Markham ON L3R 0M3
AMJ Campbell,905-887-5557,amj@amjcampbell.com,176 Hillmount Road Markham ON L6C 1Z9
Interweigh Systems Inc.,416-491-7001,inquiry@interweigh.ca,51 Bentley Street Markham ON L3R 3L1
Dynamix Solutions Inc.,416-657-2449,info@dynamixsolutions.com,80 Tiverton Court Suite 703 Markham ON L3R 0G4
Kirpal Multani,416-728-6806,kirpal1@gmail.com,7050 Woodbine Ave Markham ON L3R 4G8
Holman Insurance Brokers Ltd.,905-886-5630,service@holmanins.com,3100 Steeles Ave. East Suite 101 Markham ON L3R 8T3
Blair Insurance Brokers Ltd.,905-472-0774 1800-644-7289,merlinda.blair-insurance@rogers.com,176 Bullock Drive Unit 1 Markham ON L3P 1W2
Gin-Cor Industries,1-866-628-8292,info@gincor.com,5151 Hwy 17 West Mattawa ON P0H 1V0
Villeneuve Mechanical Services-Truck and trailer repairs,613 551 8367,williamvilleneuve@hotmail.com,Dyer Road 17496 Maxville ON k0c1t0
Aces Towing,519-367-2837,acestowing@live.com,RR#2 Mildmay ON N0G2G0
Best Rate Transportation,519-800-4466,bestrate@live.ca,4072 Perth Line 72 Millbank ON N0K 1L0
Q-Line Trucking Ltd.,877-478-9995 905-636-7700,raterequest@qlinktrans.com,7105 Auburn Road Milton ON L9T 7V9
Truck Breakdown Repair,905-463-1278,info@truckbreakdownrepair.com,705 Nisipping Rd Milton ON L9T 5B2
Allegro Freight Services Inc.,905-875-9977,info@allegrofreight.com,225 Main Street East Ste. 4 Milton ON L9T 1N9
Slingshot Transportation Inc.,905-876-1401,smead@slingshottrans.com,370 Ontario St N Milton ON L9T 2V1
Greystone Trailer Leasing Inc.,905 691-2685,sales@greystonetrailerleasing.com,7467 Ninth Line Milton ON L5N7C3
AMP Trans Inc.,716-474-3342,amptransinc@hotmail.com,1098 Cumming Blvd. Milton ON L9T 6T6
Motz Transport Inc.,905-864-6936,Motztransportation@bellnet.ca,8069 Esquesing Line Milton ON L9T 2X9
Transpro Freight Systems,905-693-4188,palmac@transprofreight.com,8600 Escarpment Way Milton ON L9T 0M1
Expedite Plus Inc.,905-875-0023,sales@expediteplus.com,917 Nipissing Road Milton ON L9T 5E3
Pro Trailer Repair,416-697-6968,ivanham@cogeco.ca,760 Cabot Trail Milton ON L9T3R9
PFS International,866 737 4685,travis@privatefleetsales.com,3153 Steeles Ave Milton ON L9T 2V4
Marbro Group Inc.,905-878-5553,info@marbrogroup.com,13-348 Bronte Street South Milton ON L9T5B6
Transport Trailer Sales Inc.,905-875-1203,N/A,8085 Esquesing line Milton ON L9T2X9
Peter Hodge Transport Limited,1-800-387-6933 905-693-8088,phtl@peterhodgetransport.com,100 Market Drive Milton ON L9T 3H5
Interlog Solutions Ltd,647-887-9200,Interlogsolutions@gmail.com,2145 Sherobee Rd Unit 108 Mississauga ON L5A 3G8
Growth Capital,647-331-4769,info@growthcapital.ca,2540 Matheson Blvd E Mississauga ON L4W4Z2
Altair Logistics Ltd,905-405-9444,info@altair-logistics.ca,6355 Shawson Dr. Unit 3B Mississauga ON L5T 1S7
Chargo Fast Cargo,905-696-9898,dispatch@chargo.ca,2700 Slough St. Mississauga ON L4T1G3
Star One Carriers Ltd,905-677-4256,soc_ltd23@yahoo.ca,7620 Middleshire Dr Mississauga ON L4t 3S2
Titanium Towing,289-205-0085,service@titaniumtowing.ca,7360 Zinnia Place Suite #278 Mississauga ON L5W 2A2
Probuilt Powertrain Corporation,289-865-9068 1-844-865-9068,info@probuiltpowertrain.com,6660 Ordan Drive Unit F Mississauga ON L5T 1J7
Apple Express,905-361-3692,sley@appleexpress.com,5300 Satellite Dr. Mississauga ON L4W 5J2
