Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2014/December,161,$565362,$551211,-2.5%,-$6351,-1.13%,18
2014/November,249,$562325,$557562,-0.84%,-$5063,-0.89%,19
2014/October,309,$569058,$562625,-1.13%,$31785,5.98%,21
2014/September,317,$540000,$530840,-1.69%,-$31010,-5.51%,17
2014/August,286,$572350,$561850,-1.83%,$17725,3.25%,19
2014/July,338,$545950,$544125,-0.33%,$21802,4.17%,20
2014/June,397,$525912,$522323,-0.68%,-$18427,-3.4%,16
2014/May,416,$546950,$540750,-1.13%,$1250,0.23%,13
2014/April,358,$545694,$539500,-1.13%,$11588,2.19%,13
2014/March,338,$524100,$527912,0.72%,-$588,-0.11%,13
2014/February,272,$531261,$528500,-0.51%,$22250,4.39%,14
2014/January,150,$511572,$506250,-1.04%,$88,0.01%,29
2013/December,142,$517087,$506162,-2.11%,$2975,0.59%,27
2013/November,237,$517775,$503187,-2.81%,-$738,-0.14%,21
2013/October,308,$512925,$503925,-1.75%,-$13387,-2.58%,22
2013/September,239,$524309,$517312,-1.33%,$5437,1.06%,17
2013/August,265,$523337,$511875,-2.19%,$5250,1.03%,23
2013/July,335,$516825,$506625,-1.97%,$5875,1.17%,22
2013/June,334,$509425,$500750,-1.7%,$17600,3.64%,18
2013/May,342,$490425,$483150,-1.48%,-$17350,-3.46%,17
2013/April,344,$512475,$500500,-2.33%,-$3850,-0.76%,17
2013/March,296,$512775,$504350,-1.64%,$5543,1.11%,16
2013/February,235,$508062,$498807,-1.82%,$17432,3.62%,19
2013/January,187,$493823,$481375,-2.52%,$2000,0.41%,27
2012/December,137,$490312,$479375,-2.23%,$3085,0.64%,32
2012/November,158,$492325,$476290,-3.25%,$2165,0.45%,28
2012/October,244,$481975,$474125,-1.62%,-$4375,-0.91%,22
2012/September,201,$494112,$478500,-3.15%,$25550,5.64%,18
2012/August,200,$460749,$452950,-1.69%,-$40900,-8.28%,19
2012/July,241,$499434,$493850,-1.11%,$7725,1.58%,17
2012/June,319,$495650,$486125,-1.92%,$125,0.02%,17
2012/May,383,$488534,$486000,-0.51%,$2000,0.41%,15
2012/April,417,$483962,$484000,0%,-$12437,-2.5%,10
2012/March,356,$494962,$496437,0.29%,$29812,6.38%,8
2012/February,269,$470500,$466625,-0.82%,$9100,1.98%,10
2012/January,165,$462537,$457525,-1.08%,$26550,6.16%,15
2011/December,149,$442962,$430975,-2.7%,-$26087,-5.7%,19
2011/November,256,$465687,$457062,-1.85%,$1562,0.34%,19
2011/October,269,$459375,$455500,-0.84%,$8369,1.87%,17
2011/September,259,$452762,$447131,-1.24%,-$2006,-0.44%,20
2011/August,302,$455697,$449137,-1.43%,-$6738,-1.47%,17
2011/July,293,$459037,$455875,-0.68%,$6014,1.33%,14
2011/June,413,$450397,$449861,-0.11%,$2424,0.54%,13
2011/May,460,$451475,$447437,-0.89%,-$8285,-1.81%,15
2011/April,364,$458686,$455722,-0.64%,$30372,7.14%,14
2011/March,369,$428575,$425350,-0.75%,$2863,0.67%,11
2011/February,245,$426675,$422487,-0.98%,$19162,4.75%,12
2011/January,170,$407475,$403325,-1.01%,-$7050,-1.71%,17
2010/December,141,$419450,$410375,-2.16%,$9063,2.25%,25
2010/November,235,$414795,$401312,-3.25%,$900,0.22%,26
2010/October,271,$412147,$400412,-2.84%,$4312,1.08%,20
2010/September,220,$402087,$396100,-1.48%,$9475,2.45%,23
2010/August,231,$396672,$386625,-2.53%,-$14600,-3.63%,24
2010/July,260,$407650,$401225,-1.57%,$17850,4.65%,28
2010/June,275,$395775,$383375,-3.13%,-$7262,-1.85%,23
2010/May,323,$394909,$390637,-1.08%,-$23363,-5.64%,18
2010/April,373,$415300,$414000,-0.31%,-$8712,-2.06%,12
2010/March,419,$423925,$422712,-0.28%,$27712,7.01%,11
2010/February,260,$396475,$395000,-0.37%,$1938,0.49%,10
2010/January,205,$398321,$393062,-1.32%,$393062,0%,17
2020/October,278,$871200,$891500,2.33%,$6275,0.7%,16
2020/November,249,$879000,$898125,2.17%,$14000,1.58%,15
