Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2013/December,29,$246200,$239625,-2.67%,-$122375,-33.8%,16
2013/November,61,$369562,$362000,-2.04%,$9500,2.69%,31
2013/October,79,$359075,$352500,-1.83%,-$73312,-17.21%,35
2013/September,84,$432650,$425812,-1.58%,-$8050,-1.85%,23
2013/August,67,$441950,$433862,-1.83%,-$4388,-1%,21
2013/July,57,$450575,$438250,-2.73%,$206375,89%,26
2013/June,82,$237337,$231875,-2.3%,-$221375,-48.84%,7
2013/May,119,$459135,$453250,-1.28%,-$57875,-11.32%,21
2013/April,113,$519750,$511125,-1.65%,$120138,30.72%,32
2013/March,71,$399325,$390987,-2.08%,$88862,29.41%,13
2013/February,51,$304825,$302125,-0.88%,$75500,33.31%,16
2013/January,31,$230587,$226625,-1.71%,-$77875,-25.57%,14
2012/December,34,$320350,$304500,-4.94%,-$18525,-5.73%,27
2012/November,48,$329812,$323025,-2.05%,$900,0.27%,18
2012/October,60,$329650,$322125,-2.28%,-$52125,-13.92%,28
2012/September,68,$386087,$374250,-3.06%,$77625,26.16%,24
2012/August,64,$305187,$296625,-2.8%,$69000,30.31%,24
2012/July,66,$226975,$227625,0.28%,$2582,1.14%,8
2012/June,99,$227450,$225043,-1.05%,-$226644,-50.17%,11
2012/May,96,$459950,$451687,-1.79%,$149375,49.41%,23
2012/April,94,$302837,$302312,-0.17%,$88312,41.26%,9
2012/March,93,$217612,$214000,-1.65%,-$109562,-33.86%,7
2012/February,61,$327262,$323562,-1.13%,$87937,37.32%,13
2012/January,33,$240975,$235625,-2.22%,-$171725,-42.15%,8
2011/December,48,$416712,$407350,-2.24%,$7600,1.9%,35
2011/November,55,$415812,$399750,-3.86%,$64938,19.39%,40
2011/October,79,$341087,$334812,-1.83%,-$127375,-27.55%,12
2011/September,70,$478975,$462187,-3.5%,$243187,111.04%,54
2011/August,64,$221175,$219000,-0.98%,-$124600,-36.26%,10
2011/July,62,$349037,$343600,-1.55%,$65750,23.66%,32
2011/June,102,$282075,$277850,-1.49%,-$54150,-16.31%,16
2011/May,83,$331975,$332000,0%,$47250,16.59%,23
2011/April,81,$288675,$284750,-1.35%,$24250,9.3%,12
2011/March,83,$264200,$260500,-1.4%,-$39522,-13.17%,12
2011/February,51,$301997,$300022,-0.65%,-$25228,-7.75%,28
2011/January,43,$333800,$325250,-2.56%,$16688,5.4%,23
2010/December,24,$309225,$308562,-0.21%,$106687,52.84%,15
2010/November,47,$204098,$201875,-1.08%,-$108625,-34.98%,10
2010/October,63,$316450,$310500,-1.88%,$105563,51.5%,30
2010/September,56,$209925,$204937,-2.37%,-$69438,-25.3%,10
2010/August,54,$273600,$274375,0.28%,-$82125,-23.03%,26
2010/July,66,$368425,$356500,-3.23%,$28059,8.54%,53
2010/June,66,$330812,$328441,-0.71%,$58566,21.7%,16
2010/May,98,$275187,$269875,-1.93%,-$18,0%,17
2010/April,95,$272212,$269893,-0.85%,$67581,33.4%,23
2010/March,69,$205600,$202312,-1.59%,-$210191,-50.95%,6
2010/February,59,$408747,$412503,0.91%,$216253,110.19%,30
2010/January,47,$199925,$196250,-1.83%,$196250,0%,6
2020/October,152,$896947,$893750,-0.35%,$84386,10.42%,13
2020/November,123,$633475,$636875,0.53%,-$256875,-28.74%,12
