Year/Month,Number of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Price of Monthly Change,Percentage of Monthly Change,Days on Market
2014/January,93,$389299,$384125,-1.32%,-$1112,-0.28%,25
2013/December,92,$393323,$385237,-2.05%,$8681,2.3%,29
2013/November,138,$380280,$376556,-0.97%,$5556,1.49%,22
2013/October,180,$378750,$371000,-2.04%,-$6687,-1.77%,21
2013/September,162,$383912,$377687,-1.62%,-$14438,-3.68%,20
2013/August,179,$401537,$392125,-2.34%,$17313,4.61%,26
2013/July,208,$378325,$374812,-0.92%,-$11938,-3.08%,19
2013/June,213,$394462,$386750,-1.95%,$11513,3.06%,20
2013/May,229,$380937,$375237,-1.49%,$13200,3.64%,21
2013/April,231,$364425,$362037,-0.65%,-$3413,-0.93%,17
2013/March,188,$368075,$365450,-0.71%,-$2126,-0.57%,12
2013/February,164,$369800,$367576,-0.6%,-$836,-0.22%,20
2013/January,121,$372850,$368412,-1.19%,$80537,27.97%,17
2012/December,82,$293075,$287875,-1.77%,-$52000,-15.29%,25
2012/November,137,$345962,$339875,-1.75%,$53626,18.73%,20
2012/October,113,$292074,$286249,-1.99%,-$59188,-17.13%,10
2012/September,135,$350525,$345437,-1.45%,-$25425,-6.85%,15
2012/August,54,$376125,$370862,-1.39%,$1162,0.31%,17
2012/July,121,$375345,$369700,-1.5%,$12725,3.56%,17
2012/June,206,$361100,$356975,-1.14%,-$5650,-1.55%,15
2012/May,229,$366600,$362625,-1.08%,$1263,0.34%,16
2012/April,231,$365562,$361362,-1.14%,$2887,0.8%,11
2012/March,215,$357737,$358475,0.2%,$2263,0.63%,12
2012/February,172,$358648,$356212,-0.67%,$9587,2.76%,21
2012/January,101,$350675,$346625,-1.15%,$7838,2.31%,29
2011/December,89,$344673,$338787,-1.7%,$4162,1.24%,22
2011/November,131,$339900,$334625,-1.55%,-$4625,-1.36%,28
2011/October,160,$343950,$339250,-1.36%,-$8696,-2.49%,19
2011/September,180,$352587,$347946,-1.31%,$13634,4.07%,11
2011/August,159,$339873,$334312,-1.63%,$3350,1.01%,16
2011/July,157,$336172,$330962,-1.54%,-$5538,-1.64%,23
2011/June,204,$339525,$336500,-0.89%,$5625,1.7%,24
2011/May,189,$333161,$330875,-0.68%,-$39875,-10.75%,16
2011/April,176,$373025,$370750,-0.6%,$38688,11.65%,17
2011/March,184,$334650,$332062,-0.77%,$12,0%,14
2011/February,154,$337650,$332050,-1.65%,-$4075,-1.21%,19
2011/January,93,$341550,$336125,-1.58%,$25125,8.07%,17
2010/December,65,$315623,$311000,-1.46%,$4063,1.32%,29
2010/November,92,$312424,$306937,-1.75%,$54950,21.8%,24
2010/October,116,$256325,$251987,-1.69%,-$57325,-18.53%,19
2010/September,125,$316750,$309312,-2.34%,-$13563,-4.2%,25
2010/August,132,$326600,$322875,-1.14%,$4500,1.41%,18
2010/July,103,$324324,$318375,-1.83%,-$15375,-4.6%,21
2010/June,155,$340125,$333750,-1.87%,$8888,2.73%,20
2010/May,149,$328687,$324862,-1.16%,$9887,3.13%,20
2010/April,209,$318048,$314975,-0.96%,$10663,3.5%,13
2010/March,190,$306150,$304312,-0.6%,-$4210,-1.36%,8
2010/February,140,$309815,$308522,-0.41%,$14535,4.94%,9
2010/January,104,$295225,$293987,-0.41%,$293987,0%,10
2020/October,234,$703474,$729700,3.72%,$5950,0.82%,8
2020/November,206,$744837,$757687,1.72%,$26987,3.69%,10
