Store,email
Holly Physiotherapy and Rehabilitation - Barrie,admin@hollyrehabilitation.com
Hunt Club Pharmacy - Ottawa - Bank St,admin@huntclubpharmacy.ca
iHealthCentre,admin@ihealthcentre.ca
GLA:D Canada - Insync Wellness - Brampton,admin@insyncwellness.com
Keswick Medical And Wellness Clinic - Medical Walk-in and Nurses Clinic,admin@keswickmedclinic.com
kidEcare,admin@kidecare.ca
Kinesis Physiotherapy and Rehabilitation Centre,admin@kinesisrehab.ca
Emergency Department,admin@lwdh.on.ca
Medical Arts Pharmacy - Cornwall - 13th St E,admin@medicalartspharmacy.ca
Long Term Care Home,admin@mennonitehome.ca
Emergency Rooms,admin@mha.tvh.ca
Long-Term Care Home,admin@nipissingmanor.ca
Northern Ontario Foot and Ankle Clinic - Sudbury,admin@nofaclinic.ca
Elliot Lake Satellite Office,admin@northshorephysio.ca
Ottawa Cardiovascular Centre - Ottawa - Bank St,admin@ottawacvcentre.com
Parkview Home - Long-Term Care Home,admin@parkviewhome.ca
Physiotherapy for Health Clinic,admin@physioforhealth.ca
Physiohaus Health and Wellness,admin@physiohaus.ca
Physio-Logic Rehabilitation Services,admin@physio-logic.com
Primary Care Niagara,admin@primarycareniagara.com
Quinte Travel Health Clinic,admin@qthc.ca
Sydenham RehabWell Clinic,admin@rehabwell.ca
Renew Physiotherapy,admin@renewphysiotherapy.ca
Scarborough North Physiotherapy Clinic,admin@scarboroughnorthphysiotherapy.com
Scarborough Village Physio and Chiro,admin@scarboroughphysiochiro.com
Foot Care Clinics,admin@slec.ca
Trinity Medical Centre,admin@trinitymedical.ca
Hespeler Medical Clinic,admin@tworiversfht.ca
Uxbridge Physiotherapy,admin@uxbridgephysiotherapy.com
Vital Care Clinics,admin@vcareclinics.ca
Westgate Lodge Nursing Home,admin@westgatelodge.ca
ZMC Medical Centre,admin@zmcmedicalcenter.ca
Trent Hills Family Health Team,admin2@thfht.com
Arnprior and District Family Health Team,administration@arnpriorfht.ca
Atikokan Family Health Team,administration@atikokanfht.com
Physiotherapy,administration@hpha.ca
Community Oral Health Program,administration@hucchc.com
Diagnostic Imaging,administration@kdhospital.com
Kincardine Family Health Team,administration@kincardinefht.ca
Emergency Department,administration@wngh.ca
Pointe au Baril Nurse Pracitioner-Led Clinic,administration@wpshc.com
Cedarwood Lodge - Sault Ste Marie,administrativeassistant@cedarwoodlodge.ca
Eastholme Home for the Aged - Powassan,administrator@eastholme.ca
Caressant Care Lindsay,adminlindsay@caressantcare.com
Caressant Care on Mary Bucke - St Thomas,adminmarybucke@caressantcare.com
Milton - 470 Bronte St S,admin-office@primecarefht.ca
Foot Care Clinic,admitting@sfmhosp.com
Advanced Foot Care and Orthotics,advancedfootcare@bellnet.ca
Chartwell Woodhaven Long Term Care Residence,adwyer@chartwell.com
West Etobicoke Medical Clinic,aegbert@sympatico.ca
Aesthetics In Podiatry,aestheticsinpodiatry@rogers.com
Burnbrae Gardens,afaux@omniway.ca
Afton Park Place Long Term Care Community,aftonparkplace@srgroup.ca
E J Mcquigge Lodge - Long-Term Care Home,agarland@mcquiggelodge.com
Agnes Medical Pharmacy,agnespharmacy@gmail.com
Health Services,ahws@munsee.ca
Aikenhead's Drug Store - Renfrew - Raglan St S,aikenheads1@bellnet.ca
AIM Drug Mart Pharmacy,aimdrugmart@gmail.com
Airport Pharmacy,airport@ptgpharmacy.com
A & J Pharmacy,aj.pharmacy@hotmail.com
Lifemark Physiotherapy - Harwood and Clements - Ajax,ajax@lifemark.ca
Foot Care Clinic,ajaxpickering@communitycaredurham.on.ca
Long-Term Care Home,alaina.kerr@broadviewnc.ca
Parisien Manor Long-Term Care Home,alauzon@southbridgecare.ca
Albion Islington Medical Centre,albionmedicalclinic@gmail.com
Guardian Pharmacy - Alcona,alconapharmacy@yahoo.ca
Guardian Pharmacy - Burlington - Plains Rd E (Aldershot Pharmacy),aldershotguardian@hotmail.com
Happy Feet Medical Foot Care - Alexandria,alexandria@happyfeetmfc.ca
Art + Science Physiotherapy and Pilates,alexis.officer@gmail.com
Foot Care Matters & Nu Age Medical Aesthetics,ali@footcarematters.ca
Medical Arts Dispensary - Ottawa - Riverside Dr,alla@medical-arts.ca
Allencourt Pharmacy - Richmond Hill - Major Mackenzie Dr E,allancourtpharmacy@gmail.com
Allandale Physiotherapy Clinic,allandaleinfo@rogers.com
Allaura Medical Centre - Walk-in Clinic,Allauramedical@gmail.com
Allcures Pharmacy,allcures.rx@gmail.com
Alliston Family Pharmacy,alliston.pharmacy@gmail.com
Alliston Family Health Team,allistonfamilyhealthteam@gmail.com
Alpha Labs - Waterdown,alpha@alphainc.org
Alpha Laboratories,alpha@alphalabs.ca
Alpha Care Medical Center,alphacare@hotmail.com
Alpha Care Pharmacy,alphacarepharmacy@hotmail.com
Pharmasave - Woodbridge (Alpha Woodbridge Pharmacy),alphawoodbridgepharmacy@gmail.com
Altima Physio,altimaphysio@gmail.com
Emergency Department,amgh.administration@amgh.ca
Meadow Park Chatham Long-Term Care,amrumble@jarlette.com
Step Forward Physiotherapy,amy@stepforwardphysio.com
Anders Physiotherapy,andersphysio@yahoo.ca
Back in Motion - Sault Ste Marie,andre@backinmotion.ca
Pharmasave - Toronto - 1967 Queen St E (Beaches Pharmacy),andrew@beachespharmasave.com
Pharmasave - Etobicoke - Bloor St W (Andrew's Pharmacy),andrewpharmacy@hotmail.com
Andrews In-Home Physiotherapy,andrewsphysiotherapy@gmail.com
Sienna Senior Living - Gravenhurst - Muskoka Shores Care Community,angela.coutts@siennaliving.ca
Integrated Rehab Professionals - Durham Region,angela.dye@integratedrehab.org
Woodhall Park Care Community,angela.matthews@siennaliving.ca
Dental Hygiene Clinic,angelina.bodick@canadorecollege.ca
Guardian Pharmacy - Angus,angusbordenpharmacy@yahoo.com
Anita Idema - Registered Chiropodist,anita.idema@yahoo.ca
Sault College of Applied Arts and Technology - Health Support and First Aid Centre,anne.erechook@saultcollege.ca
GSH Medical - Annex,annex@gshmedical.ca
Fox Ridge Care Community,antony.mathew@siennaliving.ca
Antrim X-Ray and Ultrasound Clinic,antrim.alton@rogers.com
Britt Nurse Pracitioner-Led Clinic,apalamar@wpshc.com
O'Neill Centre,apassley@oneillcentre.ca
Westwood Pharmacy Pharmasave - Guelph - Willow Rd,apatel.westwoodpharmacy@gmail.com
Garden Terrace,apenny@omniway.ca
Pharmachoice - Port Carling - Apothecary Shop (The),apothecaryshop6866@gmail.com
ApotheS.O.S. Pharmacy,apothesospharmacy@gmail.com
Applecreek Pharmacy,applecreekpharmacy@gmail.com
Applewood Medical - Walk-In Clinic,applewoodclinic@gmail.com
Focus Physiotherapy - North York,appointment@focusphysiotherapy.com
Azilda Family Foot Care,appointments@azildafamilyfootcare.com
Bronte Family Medical Clinic,appointments@brontefmc.ca
Family Medicine and Urgent Care Clinic,appointments@familymedicine-ucc.com
Triangle Physiotherapy - Mississauga,appointments@trianglephysiotherapy.com
Square One Health Group - Walk-In Clinic,appt@sq1healthgroup.com
Guardian Pharmacy - Apsley,apsleypharm@gmail.com
Aquafit Physiotherapy Clinic,aquafit@odyssey.on.ca
Braemar Retirement Centre,archie.macgowan@braemar-rc.com
Argyle Nurse Pracitioner-Led Clinic - Port Loring,argyle-ns@wpshc.com
Aria Medical Clinic,ariamedicalcentre@gmail.com
ARK Physiotherapy and Pain Relief,arkappointment@gmail.com
Armstrong Physiotherapy - Timmins,armstrongphysio@hotmail.com
Immunization Clinic,arolandhealthcentre@yahoo.ca
Greater Niagara Pharmacy,ash@greaterniagarapharmacy.com
Ontario Diagnostic Center's Ashgrove Medical Imaging,ashgrovemed@gmail.com
Integrate Care Pharmacy,ashley@icpharmacy.ca
Occupational Health Clinic for Ontario Workers (OHCOW),ask@ohcow.on.ca
Village of Aspen Lake (The),Aspen.Admin@schlegelvillages.com
Aspire Therapy and Counseling Centre,aspiretherapyandcounseling@gmail.com
Family Health Team - Minopim??diz-i Gamik (Health Services),assistant.fht@pikwakanagan.ca
Health Services,assistant.rrfn@bellnet.ca
Astra Care Pharmacy,astracare.pharmacy@gmail.com
Athens Family Chiropractic Clinic,athensfamilycc@gmail.com
Athens Physiotherapy Clinic,athensphysio@bellnet.ca
Atlas Medical Clinic,atlasmedicalclinic88@gmail.com
Aboriginal / Indigenous Navigator,audrey.logan@wrh.on.ca
Aurora Physiotherapy and Rehabilitation Centre,auroraphysio@yahoo.ca
Talbot Trail Physiotherapy - Aylmer,aylmer@talbottrailpt.ca
Aylmer Ultrasound,aylmerus@amtelecom.net
Ceremonial Pharmacy,aymandongol@hotmail.com
GLA:D Canada - Chiropractic Health Care Centre - Woodbridge,bacdoc.ca@outlook.com
Back to Function,backtofunction@encode.com
Balance Chiropractic - Kingston,balance.frontdesk@gmail.com
Barb Alguire - Physiotherapist,balguirept@gmail.com
Ballycliffe Lodge,ballycliffe@chartwell.com
MD Connected - Ottawa,bankst@mdconnected.ca
Shelburne Foot Clinic,bap2340@gmail.com
Closing the Gap Healthcare - Barrie,barrie.clinic@closingthegap.ca
Barrie Endoscopy Clinic,barrie.endoscopy@gmail.com
BioPed Foot Care - Barrie,barrie@bioped.com
CBI Physiotherapy and Rehabilitation Centre - Barrie,barrie@cbi.ca
MD Connected Walk-in Telemedicine Clinic - Barrie,barrie@mdconnected.ca
Barrie Physiotherapy - ptHealth,barriephysio@pthealth.ca
Lifemark Physiotherapy Clinic - Toronto - Bathurst St,bathurst@lifemark.ca
Bathurst Walk-in Clinic and Family Practice,bathurstwalkinclinic@gmail.com
Bayfield Manor Nursing and Retirement Home,bayfieldltc@southbridgecare.ca
Pharmasave - Pickering,baylypharmacy@rogers.com
Bayridge Chiropractic Centre,bayridgechiro@gmail.com
Bay Ridges Long Term Care Centre,bayridges@reveraliving.com
Bayside Pharmacy,bayside@sunshinedrugs.com
Dales Pharmacy - Thornhill - Bayview Ave,bayview@dalespharmacy.ca
Bayview Hill Pharmacy,bayviewhillpharmacy@gmail.com
Baywood Physiotherapy and Athletic Injury Centre,baywoodphysiotherapy@live.ca
Brucelea Haven Long-Term Care,bcblh@brucecounty.on.ca
Diagnostic Imaging,bcook@edhospital.on.ca
Bruce County Physiotherapy and Sports Injuries Clinic,bcphysio662@gmail.com
Elgin Abbey Continuing Care Residence for Seniors,bdent@extendicare.com
Hooper's Pharmacy - Toronto,beaches@hoopershealth.com
We Thrive Wellness Centre,beawesome@wethrivewellness.ca
Beech Medical Pharmacy,beech@bellnet.ca
Beechwood Wellness Pharmacy,beechwoodwellnesspharmacy@gmail.com
Belleville X Ray and Ultrasound,belleville@one-mail.on.ca
Sutherland-Chan Massage Therapy Clinic,belleville@sc-clinic.com
CBI Health Centre Belleville,bellevillephysiotherapy@cbi.ca
Bell Farm Chiropractic,bellfarmchiro@rogers.com
Back on Track Physiotherapy and Health Centres - Nepean - Robertson Rd,bellscorners@novohealthnet.com
Lifemark Physiotherapy - London - Oxford St E,bellwood@lifemark.ca
SOS Physiotherapy - Belmont Clinic,belmont@sosphysiotherapy.ca
Ben's Pharmacy - Orillia,benspharmacyorillia@gmail.com
Ben's Pharmacy - Parry Sound,benspharmcy@gmail.com
Ben's Pharmacy - Pefferlaw,bensutton10@yahoo.com
Best Care Imaging,bestcareimaging@gmail.com
Queen West X-Ray and Ultrasound Services,bestcareimaging@yahoo.com
Guardian Pharmacy - Mississauga - 720 Burnhamthorpe Rd W,bestkarepharmacy@outlook.com
Beveridge and Brown Clinic Pharmacy,beveridge.pharmacy@gmail.com
Barrie Foot Clinic,bfc@rogers.com
Beausoleil Family Health Centre,bfhc@chimnissing.ca
Chiropody (Foot Care),bfhub@unisonhcs.org
Esiniiwab Health Centre - Health Services,bghealth@outlook.com
Glassier Physiotherapy Clinic,bglassier@glassierphysio.com
Wexford Residence (The),bgrant@thewexford.org
Huntsville Chiropractic,biamonte@vianet.ca
Kassel's Pharmacy,bill@kasselspharmacy.com
Black Creek Physiotherapy,blackcreekphysio@gmail.com
Foot Care Clinics,blenheim55@gmail.com
Blossom Pharmacy,blossompharmacy@yahoo.com
Proactive Rehabilitation Health and Fitness Service,blueh2o2334@eastlink.ca
Hogan Pharmacy - Bluewater,bluewater@hoganrxgroup.com
Blyth Walk-In Clinic,blythwalkin@gmail.com
BMC Pharmacy - Sarnia,bmcsarnia@hoganrxgroup.com
Focus Physiotherapy - Bolton,bolton@focusphysiotherapy.com
Life Pharmacy,boltonlifepharmacy@gmail.com
Bristol Family Medical Clinic,book@bristolfamilyclinic.ca
123 Edward Street Diagnostic Imaging,booking@edwarddiagnostic.com
Medcan,bookings@medcan.com
Bounce Back Physiotherapy,bouncebackphysio@sympatico.ca
Bowen's Pharmacy,bowenspharmacy@gmail.com
King Physiotherapy and Foot Clinic,bowmanville.kingstreet@lifemark.ca
Bowmanville Physiotherapy and Sports Medicine Centre - PT Health,bowmanville@pthealth.ca
We-Fix-U Physiotherapy and Foot Health Centre - Bowmanville,bowmanville@we-fix-u.com
Guardian Pharmacy - Bowmanville - 133 King St E,bowmanvillepharmacy@hotmail.com
Lifemark - Centric Health Physiotherapy and Wellness,bracebridge@lifemark.ca
Bradley Pharmacy - Sudbury,bradleypharmacy@hotmail.com
Martin Brain Podiatry,brain.martin@ymail.com
MCI Physiotherapy,bramaleaphysio@mcimed.com
Pharmasave - Brampton - Lisa St (BramCity),bramcitypharmacy@gmail.com
Brameast Family Health Organization,brameast@rogers.com
Focus Physiotherapy - Brampton,brampton@focusphysiotherapy.com
Hooper's Pharmacy,brampton@hoopershealth.com
Brampton Physiotherapy + Wellness Institute,brampton@lifeclinics.ca
MedRehab Group - Brampton,Brampton@medrehabgroup.com
MedSleep - Brampton - Sleep Clinic,brampton@medsleep.com
Brampton East Urgent Care Clinic,brampton@urgentcarecentre.ca
Brampton Vascular Institute,bramptonv@gmail.com
Branford Radiology Group - Brant Imaging Clinic,brant@brantfordradiologygroup.com
pt Health - Burlington - Brant 730 Physiotherapy,brant730physio@pthealth.ca
CBI Health Centre - Brantford West,brantford@cbi.ca
MyHealth Centre - Brantford,brantford@myhealthcentre.ca
Brantford Life Care Pharmacy,brantfordlifecarepharmacy@hotmail.com
Brantford Podiatry Associates,brantfordpodiatry@bellnet.ca
Brant Lakeshore Pharmacy,brantlakeshorepharmacy@gmail.com
Brar Medical,brarmedicalclinic@gmail.com
Ontario Breast Screening Program - South West,breastscreen@cancercare.on.ca
Royal York Pharmacy,brendaryp@yahoo.ca
Brierwood Gardens,brierwoodgardens@reveraliving.com
Brighton Global Health Pharmacy,brightonpharmacy@gmail.com
Brighton Sport and Wellness Centre,brightonsportandwellness@live.com
Britannia Health Pharmacy,britanniahealthpharmacy@gmail.com
Britannia Medical Pharmacy,britanniamedpharm@gmail.com
Brock Physiotherapy and Athletic Injury Centre,brock.physio@yahoo.ca
Foot Care Clinic,brock@communitycaredurham.on.ca
Brockville Physiotherapy and Sports Injury Clinic - Outpatient Physiotherapy,Brockville@HomeTownPhysiotherapy.com
Pharmasave - Brockville,brockvilleps604@gmail.com
Brooklin Village Physiotherapy,brooklinphysio@hotmail.com
Brooklin Rehabilitation Sports Injury Centre,brooklinphysio@yahoo.com
Brownsville Drugs - Schomberg (Brownsville),brownsbille.phm@gmail.com
PharmaChoice - Brussels,brussselspharmachoice@gmail.com
Bunting and Carlton Medical Clinic,buntingcarltonmedicalclinic@gmail.com
Burlington Foot Clinic,burlingtonfootclinic@cbi.ca
Burnham Medical Pharmacy,burnhampharmacy@yahoo.com
Burton Manor,burton@primacareliving.com
Medical Imaging,buttles@renfrewhosp.com
Bobier Villa,bv@elgin.ca
Blue Water Rest Home,bwrh.info@bluewaterresthome.com
Brimley Wenlock X-Ray and Ultrasound,bwxrayultrasound@gmail.com
Lifemark Physiotherapy - London West - Byron Village,byronvillage@lifemark.ca
Walmart Pharmacy - Alliston,cacustrel@wal-mart.com
After Hours Clinic,cahc@rogers.com
Guardian Pharmacy - Caledon - Airport Rd (Caledon East),caledon.grdn@hotmail.com
Caledon Specialist Clinic,caledonspecialistclinic@ccs4u.org
Cambridge Medical Pharmacy,cambridgemedicalpharmacy@gmail.com
Coronation Medical Pharmacy,cambridgepharmacy@gmail.com
Campbellford Physiotherapy Clinic,campbellford@closingthegap.ca
Campus Pharmacy - Ottawa - Marie-Curie Private,campus@bellnet.ca
Lovell Drugs - Oshawa - Simcoe St N,campuspharmacist@lovelldrugs.com
Fresenius Kabi Compounding Solutions - Hamilton - Brockley Dr,canada_customerservice@fresenius-kabi.com
Familial Cancer Clinic,CancerGenetics@uhn.ca
CANEX Plaza Chiropractic Clinic,canexplazachiropractic@gmail.com
Cannon Pharmacy,cannonpharmacy1111@gmail.com
Maynard Nursing Home,care@maynardnursinghome.com
Physiomobility Home Health care,care@physiomobility.com
Back On Track - Carleton Place - Physiotherapy and Sports Injury Clinic,carletonplace@novohealthnet.com
Carlingview Manor,carlingviewmanor@reveraliving.com
Carlingwood Pharmasave,carlingwoodpharmasave@gmail.com
Carlisle Pharmacy,carlislepharmacy@gmail.com
Emergency Department,carolyn.levesque@pemreghos.org
Seaforth Long Term Care Home and Retirement Community,CaStewart@southbridgecare.ca
Guardian Pharmacy - Brampton - Castle Oaks Crossing (Castle Oaks),castleoakspharmacy@gmail.com
Lindsay Orthotics and Foot Care,cathygarbutt@live.ca
Methadrug Pharmacy - Sault Ste Marie,catp.ssm@onatpharm.ca
Emergency Department,cbarkley@wdmh.on.ca
Extendicare - Kapuskasing,cbrouzes@extendicare.com
Cardiac Care Centre,ccardiac@ymail.com
CC Pharmacy,ccpharmacy1351@gmail.com
Toronto - 721 Broadview Ave - Seniors Active Living Centre,ccwscentralintake@woodgreen.org
Immunization Clinics,cdcimm@hpeph.ca
Almonte Country Haven,cdellaforesta@omniway.ca
Guardian Pharmacy - Ottawa - 4100 Strandherd Dr,cedarviewpharmacy@gmail.com
Westmount Pharmacy,ceddy.westmount@gmail.com
CENPRO Pharmacy,cenpro76@hotmail.com
PTG Pharmacies - Stoney Creek (Centennial Pharmacy),centennial@ptgpharmacy.com
Child and Family Services,central.lhin@lhins.on.ca
Central Algoma Pharmacy - Bruce Mines,centralalgoma@remedysrx.ca
Central All Care Pharmacy,centralallcare@hotmail.com
Central Bolton Walk-In Clinic,centralboltonwic@gmail.com
Bluewater Imaging - Etobicoke - 3170 Lakeshore Blvd W,centralbooking@bluewaterimaging.ca
Central Park Physiotherapy Centre,centralparkphysio@bellnet.ca
PT Health Central Scarborough Physiotherapy,centralscarborough@pthealth.ca
Central Whitby Clinic,centralwhitbyclinic@gmail.com
Centrepointe Gabriel Drugs Pharma Choice - Nepean - Centrepointe Dr,centrepointe@on.aibn.com
Centretown Pharmacy,centretownphm@gmail.com
Century City Pharmacy,centurycitypharmacy@gmail.com
University Gates Site - Mobility and Memory Clinic,cffmug@family-medicine.ca
Advanced Access Medical Clinics,cfisher@advancedaccessmedical.ca
Chabad Gate Pharmacy,chabadgatepharmacy@gmail.com
Champlain Local Health Integration Network - Cornwall - 1916 Pitt St - Clinic - St Elizabeth Health Care,ChamplainSDC@saintelizabeth.com
Sarsfield Colonial Home,chantalcrispin@rogers.com
Charlotte Care Pharmacy,charlottecarepharmacy@gmail.com
Charlton Pharmacy,charlton.hamilton@gmail.com
Charlton Physiotherapy Centre,charlton@lifeclinics.ca
Chartwell Elmira Long Term Care Residence,chateaugardenselmira@chartwellreit.ca
Chatham Foot Clinic,chathamfootclinic@cogeco.net
Guardian Pharmacy - Chatham,chathampharmacy@yahoo.com
Chatham-Kent Family Practice and Walk in Clinic,chathamwalkinclinic@gmail.com
Chatham Physiotherapy Clinic,chatphys@ciaccess.com
Guardian Pharmacy - Chelmsford - Main St E,chelmsfordguardian@carepharmacies.ca
Chemong Physiotherapy,chemongphysio@bellnet.ca
Cherryhill Foot Care,cherryhillfootcare@bellnet.ca
Child and Family Health Division,childfamily@york.ca
Children's Dental Clinic,childrensclinic@schulich.uwo.ca
Children's Support Solutions - Morneau Shepell,childrensupportsolutions@morneaushepell.com
Outpatient Clinic and POGO (Oncology) - Pediatric Oncology Group of Ontario Satellite Clinic,childservices@grhosp.on.ca
Chinguacousy and Sandalwood Medical Centre,chinguacousy-medical@hotmail.com
Chiropractic Care and Longevity Center,chirocare@primus.ca
McQuistan Chiropody - Hamilton - King St E,chiropod@stjoes.ca
Foot Care and Orthotic Centre,chiropody@haltonhealthcare.com
Foot Care and Orthotic Centre,chiropody@haltonhealthcare.on.ca
Michener Institute Chiropody Clinic,chiropodyclinic@michener.ca
Family Chiropractic - Health and Sports Care Centre,chirosport@rogers.com
Downsview Long-Term Care Centre,chris.burns@gemhc.com
Generations Physiotherapy Clinic,chris@generationsphysio.ca
Boothby (Christa). Registered Massage Therapist,christaboothby.rmt@live.com
Chris Williams D.Ch. Chiropodist,chriswill1@cogeco.ca
WAVE Clinic,chsclientservices@georgebrown.ca
Newmarket Health Centre - Long-Term Care Home,chs-info@york.ca
Canadian Active Rehabilitation Centre,chunghwa.wong@carcrehab.ca
Foot Care Clinic - Napanee,cindy.weese@von.ca
Foot Fix - Foot Care Clinic and In-Home,cingram@carenh.org
Lifemark Physiotherapy - Mississauga - City Centre,citycentre@lifemark.ca
Pharmasave,cityviewpharmasave@gmail.com
Physio and Rehab,cityviewphysioandrehab@gmail.com
Healthy Smiles Ontario,ckpublichealth@chatham-kent.ca
Riverview Gardens,ckseniors@chatham-kent.ca
Claireville Doctors,clairevilledoctors@yahoo.ca
Foot Care Clinic,clarington@communitycaredurham.on.ca
Cindy Lewis and Associates,clewisoffice@bellnet.ca
Voak Health Centre - Walk-In Clinic and Urgent Care,clients@voakhealth.com
Bayshore HealthCare - Mississauga - Administration Office,clientservice@bayshore.ca
Cliffside Pharmacy,cliffsiderx@mail.com
Cliffway Pharmacy,cliffwaypharm@gmail.com
Oakville Health Centre Clinic,clinic.ohcc@gmail.com
ARC Medical Clinic,clinic@arcmedical.ca
Arkell Walk-in Medical Clinic,clinic@arkellmedical.ca
Beamsville Diagnostic Imaging,clinic@bdimaging.ca
Canadian National Institute of Health - Dental Hygiene Clinic,clinic@cnih.ca
eMichael Medical Centre,clinic@emichael.ca
Sheridan Medical Clinic,clinic@sheridanpharmacy.ca
Walk-in Clinic @ 277 Bath Road,clinic277bathroad@gmail.com
Clinicare Discount Pharmacy,clinicarepharmacy@gmail.com
Lovell Drugs - Kingston - Stuart St,clinicpharmacist@lovelldrugs.com
Guardian Pharmacy - Brampton - Kennedy Rd (Clinik),clinikpharmacy@gmail.com
Chiropody,cmccoleman@rapidsfhteam.ca
Health Centre,cmcewan.tfn@vianet.ca
Bayshore Therapy and Rehab - Sudbury,cmetcalfe@bayshore.ca
College Medical Pharmacy - Toronto - College St,cmpharmacy474@gmail.com
Stayner Care Centre,cmurchison@jarlette.com
Collingwood Nursing Home,cnh@collingwoodnursinghome.com
Extendicare Bayview - Long-Term Care Home,cnh_bayview@extendicare.com
Extendicare - Cobourg,cnh_cobourg@extendicare.com
Extendicare - Falconbridge,cnh_falconbridge@extendicare.com
Extendicare - Guildwood,cnh_guildwood@extendicare.com
Extendicare - Haliburton,cnh_haliburton@extendicare.com
Extendicare Halton Hills,cnh_haltonhills@extendicare.com
Extendicare Hamilton,cnh_hamilton@extendicare.com
Extendicare - Kawartha Lakes,cnh_kawarthalakes@extendicare.com
Extendicare - Kingston,cnh_kingston@extendicare.com
Extendicare - Lakefield,cnh_lakefield@extendicare.com
Extendicare Laurier Manor,cnh_laurier@extendicare.com
Extendicare - London,cnh_london@extendicare.com
Extendicare Medex,cnh_medex@extendicare.com
Extendicare Mississauga,cnh_mississauga@extendicare.com
New Orchard Lodge,cnh_neworchardlodge@extendicare.com
Extendicare - Oshawa,cnh_oshawa@extendicare.com
Extendicare - Peterborough,cnh_peterborough@extendicare.com
Extendicare - Port Hope,cnh_porthope@extendicare.com
Extendicare - Rouge Valley,cnh_rougevalley@extendicare.com
Extendicare - Scarborough,cnh_scarborough@extendicare.com
Extendicare Starwood,cnh_starwood@extendicare.com
Extendicare St Catharines,cnh_stcatharines@extendicare.com
Extendicare - Tecumseh,cnh_tecumseh@extendicare.com
Extendicare - Timmins,cnh_timmins@extendicare.com
Extendicare - Tri-Town - Haileybury,cnh_tritown@extendicare.com
Extendicare - Van Daele - Sault Ste Marie,cnh_vandaele@extendicare.com
West End Villa,cnh_westendvilla@extendicare.com
Guardian Pharmacy - Cobalt,cobaltpharmacy@gmail.com
Conways Pharmacy - Cobden - Main St,cobden@conwayspharmacy.ca
Cobourg X-Ray and Ultrasound - OTN Walk-in Clinic and Blood Lab,cobourg.clinic@radiologynowsecure.ca
We-Fix-U Physiotherapy and Foot Health Centre - Cobourg,cobourg@we-fix-u.com
Cobourg Care Pharmacy,cobourgcarepharmacy@gmail.com
Cobourg Drug Mart,cobourgdrugmart@gmail.com
Coby Pharmacy,cobypharmacy@gmail.com
Growing Healthy Families,cochran@porcupinehu.on.ca
Guardian Pharmacy - Coldwater,coldwaterpharmacy@rogers.com
Coleman Care Centre,coleman.admin@schlegelvillages.com
Colibri Physiotherapy - Parry Sound,colibriphysio@gmail.com
