Store,phone,email,address,website
Hogan Pharmacy - Sarnia,519-336-2224,hogan@hoganrxgroup.com,457 London RdSarnia  ONN7T 4W9,www.hoganpharmacy.ca
Hometown Family Pharmacy,519-738-2400,feelbetter@HarrowPharmacy.ca,PO Box 59Harrow  ONN0R 1G0,
Hunter's Pharmacy,519-945-4333,,3019 Tecumseh Rd EWindsor  ONN8W 1G8,www.hunterspharmacy.ca
IDA Pharmacy - Alvinston,226-846-2222,,3231 River StAlvinston  ONN0N 1A0,www.guardian-ida-pharmacies.ca/en/ontario/alvlnsto...
IDA Pharmacy - Blenheim - Talbot St W (McIntyre),519-676-5467,blenheimida@sunshinedrugs.com,49 Talbot St WBlenheim  ONN0P 1A0,www.sunshinedrugs.com/mcintyre-pharmacy
IDA Pharmacy - Kingsville,519-733-6541,,271 Main St EKingsville  ONN9Y 1A7,www.sunshinedrugs.com/kingsville-pharmacy
IDA Pharmacy - Point Edward (The Point Care),519-332-0332,thepointcarepharmacy@gmail.com,DMI Building704 Mara St  Suite 112Point Edward  ONN7V 1X4,www.guardian-ida-pharmacies.ca/en/ontario/point-ed...
IDA Pharmacy - Sarnia - Exmouth St,519-339-0909,centrepointida@gmail.com,899 Exmouth St  Unit 3Sarnia  ONN7T 5R3,www.centrepointida.com
IDA Pharmacy - Tecumseh (TLC Pharmacy),519-979-3555,tlcorders@sunshinedrugs.com,11811 Tecumseh Rd ETecumseh  ONN8N 4M7,sunshinedrugs.com/tlc-pharmacy/
IDA Pharmacy - Windsor - 1909 Tecumseh Rd E,519-977-0090,sandwichorders@sunshinedrugs.com,1909 Tecumseh Rd EWindsor  ONN8W 1C9,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
IDA Pharmacy - Windsor - 5115 Tecumseh Rd E (Westminster Pharmacy),519-944-0001,,5115 Tecumseh Rd EWindsor  ONN8T 1C2,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
IDA Pharmacy - Windsor - Dougall Ave (Lifestyle Pharmacy and Candy Bar),519-967-1000,pmadamo123@gmail.com,3850 Dougall Ave  Unit 100Windsor  ONN9G 1X2,www.guardian-ida-pharmacies.ca/en/ontario/windsor/...
IDA Pharmacy - Windsor - Erie St E (Erie Health and Wellness),519-252-0002,,101 Erie St EWindsor  ONN9A 3W9,
IDA Pharmacy - Windsor - Forest Glade Dr,519-979-9200,,3145 Forest Glade DrWindsor  ONN8R 1W6,sunshinedrugs.com/forest-glade-pharmacy/
IDA Pharmacy - Windsor - Sandwich St,519-254-8247,,3211 Sandwich StWindsor  ONN9C 1A9,www.sunshinedrugs.com/sandwich-pharmacy
IDA Pharmacy - Windsor- Grandview St (Fontainebleu),519-948-1422,admin@sunshinedrugs.com,2901 Grandview StWindsor  ONN8T 2L5,www.sunshinedrugs.com/fontainebleu-pharmacy
Lambton Pharmacy,519-882-0650,lambtonpharmacy@bellnet.ca,4130 Glenview Rd  Unit 2Petrolia  ONN0N 1R0,
Leamington Medical Pharmacy,519-322-2121,,197 Talbot St W  Suite 204Leamington  ONN8H 1N8,www.lmrx.ca
Leamington Wellness Pharmacy,519-322-4922,naturalhealth@truewellbeing.ca,4 Talbot St ELeamington  ONN8H 1L2,www.truewellbeing.ca
MacTavish Pharmacy,519-683-4491,,480 St George StDresden  ONN0P 1M0,
Medical Centre Pharmacy - Windsor,519-255-1121Clinic: 519-419-4294,medicalcentrepharmacy@bellnet.ca,1428 Ouellette Ave  Suite 110Windsor  ONN8X 1K3,www.medicalcentrepharmacy.ca
Medical Place Pharmacy,519-358-1000,info@medicalplacepharmacy.ca,20 Emma St  Unit 110Chatham  ONN7L 5K5,www.chathamkentpharmacy.ca
Medicine Shoppe (The) - Sarnia,519-337-1119,winston@mspharmacy.ca,429 Exmouth StSarnia  ONN7T 5P1,themedicineshoppesarnia.com
Neighbourhood Drug Store,519-252-3400,,493 Wyandotte St EWindsor  ONN9A 3H8,
Northgate Pharmacy,519-344-8222,info@northgatepharmacy.ca,560 Exmouth StSarnia  ONN7T 5P5,www.northgatepharmacy.ca/
Olde Walkerville Pharmacy - Windsor - Erie St E,519-915-6626,,870 Erie St EWindsor  ONN9A 3Y6,
Olde Walkerville Pharmacy - Windsor - Wyandotte St E,519-255-9009,,1701 Wyandotte St EWindsor  ONN8Y 1C9,
Ottawa Street Pharmacy,519-977-7107,,1535 Ottawa StWindsor  ONN8X 2G3,
Ouellette Avenue Pharmacy,519-915-7776,,1103 Ouellette AveWindsor  ONN9K 4K1,
Paul Marley Pharmacy,519-845-3341,,607 Broadway StWyoming  ONN0N 1T0,
PhamaChoice - Windsor - Wyandotte St E (Windsor River Pharmacy),519-254-2226,,671 Wyandotte St EWindsor  ONN9A 3H9,www.pharmachoice.com/locations/windsor-river
Pharmacare Drug Mart Pharmacy - Riverside,519-944-2298,river7775@gmail.com,7775 Wyandotte St EWindsor  ONN8S 1S6,
PharmaChoice - Leamington (Central Drug Leamington),519-398-9339,pch674@pharmachoice.com,38 Erie St NLeamington  ONN8H 2Z3,www.pharmachoice.com/locations/central-drug-mart-l...
PharmaChoice - Sarnia (Rapids),519-344-0100,rapidspharmacy@hotmail.com,1150 Pontiac Dr  Unit 5Sarnia  ONN7S 3A7,www.pharmachoice.com/locations/rapids
PharmaChoice - Tecumseh (Oasis),519-727-6800,pch700@pharmachoice.com,Lakeshore Oasis Plaza486 Advance Blvd  Unit 140BTecumseh  ONN8N 5G8,www.pharmachoice.com/on/oasis
PharmaChoice - Walpole Island (Family Health Walpole),519-627-8868,,Thunderbird Plaza785 Tecumseh Rd  Unit 17Walpole Island  ONN8A 4K9,www.pharmachoice.com/locations/family-health-walpo...
PharmaChoice - Windsor (Clinix+ Pharmacy),519-915-8787,pch658@pharmachoice.com,475 Tecumseh Rd EWindsor  ONN8X 4W5,
PharmaChoice - Windsor (Health First),519-974-0000,pch582@pharmachoice.com,5565 Wyandotte St EWindsor  ONN8S 4T9,
PharmaChoice - Windsor - 3691 Tecumseh Rd E (Central Mall),519-948-9333,pch675@pharmachoice.com,3691 Tecumseh Rd EWindsor  ONN8W 3H8,www.pharmachoice.com/locations/central-mall
PharmaChoice - Windsor - 5415 Tecumseh Rd E (Central Drug Mart),519-948-1177,pch673@pharmachoice.com,5415 Tecumseh Rd EWindsor  ONN8T 1C5,www.pharmachoice.com/locations/central-drug-mart-w...
PharmaChoice - Windsor - Howard Ave (Ziter Pharmacy),519-252-2200,ziterpharmacy@cogeco.net,2462 Howard Ave  Suite 108Windsor  ONN8X 3V6,www.pharmachoice.com/locations/ziter
PharmaChoice - Windsor - Park St W (Downtown Windsor Pharmacy),519-256-1600,pch650@pharmachoice.com,100 Park St WWindsor  ONN9A 7A5,www.pharmachoice.com/on/downtown-windsor
PharmaChoice - Windsor - Tecumseh Rd W (Family Health West),519-977-0433,,1604 Tecumseh Rd WWindsor  ONN9B 1T8,www.pharmachoice.com/locations/family-health-west
PharmaChoice - Windsor - Walker Rd (Novacare),519-946-0303,info@novacare.ca,1275 Walker Rd  Suite 3AWindsor  ONN8Y 4X9,www.novacare.ca
Pharmasave - Belle River,519-728-1119,,520 Notre Dame StBelle River  ONN0R 1A0,www.pharmasave.com/store/pharmasave-belle-river
Pharmasave - Chatham,519-352-0404,,125 Keil Dr SChatham  ONN7M 3J8,www.pharmasave.com/store/pharmasave-chatham
Pharmasave - Essex (Essex Pharma Care),519-776-9090,,35 Victoria Ave  Unit 1Essex  ONN8M 1M4,www.pharmasave.com/store/pharmasave-essex-pharma-c...
Pharmasave - Forest,519-786-5161,forestpharmacy@rogers.com,19 King St WForest  ONN0N 1J0,www.forestpharmasave.com
Pharmasave - Grand Bend,519-238-6506,,46 Ontario St S  PO Box 266Grand Bend  ONN0M 1T0,pharmasave.com/store/pharmasave-grand-bend-pharmac...
Pharmasave - Lasalle (Windsor Crossing),519-915-3330,,2055 Sandwich West Pkwy  Unit 1500Lasalle  ONN9H 2S4,www.pharmasave.com/store/pharmasave-windsor-crossi...
Pharmasave - Ridgetown (Ridge Apothecary),519-674-3400,,22 Main St ERidgetown  ONN0P 2C0,www.pharmasave.com/store/pharmasave-ridge-apotheca...
Pharmasave - Sarnia - London Rd,519-491-6778,mail@londonroadpharmacy.com,c/o Maure-Berg Pharmacy1249 London Rd  Suite W-1ASarnia  ONN7S 4T3,www.londonroadpharmacy.com
Pharmasave - Tecumseh (Tecumseh Medical Pharmacy),519-979-6222,,13126 Tecumseh Rd E  Unit 1Tecumseh  ONN8N 3T4,www.pharmasave.com/store/pharmasave-tecumseh-medic...
Pharmasave - Tilbury,519-682-0867,,8 Queen St NTilbury  ONN0P 2L0,www.pharmasave.com/store/pharmasave-tilbury
Pharmasave - Windsor - Huron Church Rd (Westside),519-252-8511,,1550 Huron Church RdWindsor  ONN9C 3Z3,www.pharmasave.com/store/pharmasave-westside-pharm...
Pharmasave - Windsor - Walker Rd,519-972-7979,,3540 Walker RdWindsor  ONN8W 3S4,www.pharmasave.com/store/pharmasave-walker-road-ph...
Provincial Pharmacy,519-972-8788,,1400 Provincial RdWindsor  ONN8W 5W1,www.provincialpharmacy.com
Real Canadian Superstore DRUGStore Pharmacy - Chatham,519-351-1543,,791 St Clair StChatham  ONN7M 5J7,www.realcanadiansuperstore.ca/pharmacy?storeId=056...
Real Canadian Superstore DRUGStore Pharmacy - Leamington,519-322-2760,,201 Talbot St ELeamington  ONN8H 3X5,www.realcanadiansuperstore.ca//store-locator/Leami...
Real Canadian Superstore DRUGStore Pharmacy - Sarnia - Murphy Rd,519-383-8133,,600 Murphy RdSarnia  ONN7S 2X1,www.realcanadiansuperstore.ca/store-locator/Sarnia...
Real Canadian Superstore DRUGStore Pharmacy - Windsor - Dougall Ave,519-972-1013,,2430 Dougall AveWindsor  ONN8X 1T2,www.realcanadiansuperstore.ca/pharmacy?storeId=282...
Remedy'sRx Pharmacy - Sarnia (Wiltshire Pharmacy),519-491-1922,info@wiltshirepharmacy.com,940 Murphy RdSarnia  ONN7S 5C4,wiltshirepharmacy.com
Remedy'sRx Pharmacy - Windsor (Tamimi Local Drug Store),519-256-3737,,1190 Tecumseh Rd EWindsor  ONN8W 1B4,www.remedys.ca/en/ontario/windsor/tamimi-remedysrx...
Remedy'sRx Specialty Pharmacy,519-945-5080,,3215 Jefferson Bvd  Unit 304Windsor  ONN8T 2W7,www.remedysrxsp.ca
Rexall Pharma Plus - Amherstburg (Rexall Specialty),519-736-1022,1909rx@rexall.ca,71 Sandwich St SAmherstburg  ONN9V 1Z5,www.rexall.ca/storelocator/store/1909
Rexall Pharma Plus - Chatham - St Clair St,519-436-0005,8150rx@rexall.ca,401 St Clair StChatham  ONN7L 3K3,www.rexall.ca/storelocator/store/8150
Rexall Pharma Plus - Wallaceburg,519-627-3388,1891rx@rexall.ca,440 James StWallaceburg  ONN8A 2N7,www.rexall.ca/storelocator/store/1891
Rexall Pharmacy - Chatham - McNaughton Ave W,519-358-1900,8125rx@rexall.ca,403 McNaughton Ave WChatham  ONN7L 4K4,www.rexall.ca/storelocator/store/8125
Rexall Pharmacy - LaSalle,519-250-3988,8121rx@rexall.ca,5881 Malden RdLaSalle  ONN9H 1S5,www.rexall.ca/storelocator/store/8121
Rexall Pharmacy - Leamington,519-322-0689,8122rx@rexall.ca,33 Princess StLeamington  ONN8H 5C5,www.rexall.ca/storelocator/store/8122
Rexall Pharmacy - Sarnia,519-332-5575,6914rx@rexall.ca,697 Cathcart BlvdSarnia  ONN7V 2N6,www.rexall.ca/storelocator/store/6914
Rexall Pharmacy - Windsor - 1215 Ouellette Ave,519-256-1700,8124rx@rexall.ca,1215 Ouellette AveWindsor  ONN8X 1J3,www.rexall.ca/storelocator/store/8124
Rexall Pharmacy - Windsor - 1454 Ouellette Ave,519-973-5501,8128rx@rexall.ca,1454 Ouellette AveWindsor  ONN8X 1K3,www.rexall.ca/storelocator/store/8128
Rexall Pharmacy - Windsor - Howard Ave,519-967-8512,8126rx@rexall.ca,3840 Howard AveWindsor  ONN9E 3N9,www.rexall.ca/storelocator/store/8126
Richmond Pharmacy - Chatham,519-397-5555,richmondpharmacy@yahoo.com,141 Richmond StChatham  ONN7M 1P1,
Rob's Whole Health Pharmacy,519-915-7911,rob@robspharmacy.com,1765 Sprucewood Ave  Unit 250LaSalle  ONN9J 1X7,www.robspharmacy.com
Rose City Pharmacy,519-252-7767,,402 Wyandotte St WWindsor  ONN9A 5X4,
Sarnia Pharmacy,519-337-3215,contact@sarniapharmacy.com,206 Maxwell StSarnia  ONN7T 5C3,www.sarniapharmacy.com
Shoppers Drug Mart - Amherstburg - Sandwich St S,519-736-5435,asdm1103@shoppersdrugmart.ca,199 Sandwich St SAmherstburg  ONN9V 1Z9,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Belle River - Notre Dame St,519-728-1610,asdm1123@shoppersdrugmart.ca,330 Notre Dame StBelle River  ONN0R 1A0,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Blenheim,519-676-8164,asdm1030@shoppersdrugmart.ca,21 Chatham St NBlenheim  ONN0P 1A0,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Brights Grove,519-869-4224,asdm718@shoppersdrugmart.ca,2600 New Lakeshore Rd  Unit 10Brights Grove  ONN0N 1C0,www1.shoppersdrugmart.ca/en/store-locator/store/71...
Shoppers Drug Mart - Chatham - Grand Ave W,519-354-1660,asdm1021@shoppersdrugmart.ca,485 Grand Ave WChatham  ONN7L 1C5,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Chatham - Queen St,519-352-3360,asdm1037@shoppersdrugmart.ca,420 Queen StChatham  ONN7M 2J2,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Chatham - St Clair St,519-352-3200,asdm713@shoppersdrugmart.ca,416 St Clair StChatham  ONN7L 3K5,www1.shoppersdrugmart.ca/en/store-locator/store/71...
Shoppers Drug Mart - Corunna - Lyndoch St,519-862-1451,asdm1034@shoppersdrugmart.ca,420 Lyndoch StCorunna  ONN0N 1G0,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Essex - Talbot St S,519-776-5246,asdm1111@shoppersdrugmart.ca,5 Talbot St SEssex  ONN8M 1A6,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Grand Bend,519-238-8540,asdm1023@shoppersdrugmart.ca,65 Main St EGrand Bend  ONN0M 1T0,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Harrow,519-738-2226,asdm1105@shoppersdrugmart.ca,69 King St EHarrow  ONN0R 1G0,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - LaSalle - Malden Rd,519-969-9971,asdm1122@shoppersdrugmart.ca,6020 Malden RdLaSalle  ONN9H 1S8,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Leamington,519-326-2663,asdm1117@shoppersdrugmart.ca,269 Erie St SLeamington  ONN8H 3C4,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Ridgetown - Main St W,519-674-5463,asdm1039@shoppersdrugmart.ca,22 Main St WRidgetown  ONN0P 2C0,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Sarnia - Exmouth St,519-344-2409,asdm1032@shoppersdrugmart.ca,510 Exmouth StSarnia  ONN7T 5P3,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Sarnia - Indian Rd,519-337-3727,asdm1033@shoppersdrugmart.ca,Eastland Plaza260 Indian RdSarnia  ONN7T 3W4,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Sarnia - Michigan Ave,519-541-9064,asdm1437@shoppersdrugmart.ca,1208 Michigan AveSarnia  ONN7S 6M7,www1.shoppersdrugmart.ca/en/store-locator/store/14...
Shoppers Drug Mart - Sarnia - Mitton St S,519-336-1234,asdm1031@shoppersdrugmart.ca,123 Mitton St SSarnia  ONN7T 3C5,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Tecumseh,519-979-0009,asdm1126@shoppersdrugmart.ca,500 Manning Rd  RR 1  Unit 1Tecumseh  ONN8N 5H3,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Tilbury,519-682-2272,asdm1115@shoppersdrugmart.ca,20 Mill St WTilbury  ONN0P 2L0,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Wallaceburg,519-627-2204,asdm1036@shoppersdrugmart.ca,30 McNaughton AveWallaceburg  ONN8A 1R9,www1.shoppersdrugmart.ca/en/store-locator/store/10...
Shoppers Drug Mart - Windsor (Wyandotte and Dawson),519-945-1107,asdm1113@shoppersdrugmart.ca,4835 Wyandotte St EWindsor  ONN8Y 1H9,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Windsor - 11500 Tecumseh Rd E,519-735-2121,asdm1118@shoppersdrugmart.ca,11500 Tecumseh Rd EWindsor  ONN8N 1L7,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Windsor - 1675 Wyandotte St W,519-253-4477,asdm1107@shoppersdrugmart.ca,1675 Wyandotte St WWindsor  ONN9B 1H8,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Windsor - 2670 Tecumseh Rd W (University Mall),519-252-5779,asdm762@shoppersdrugmart.ca,University Mall2670 Tecumseh Rd WWindsor  ONN9B 3P9,www1.shoppersdrugmart.ca/en/store-locator/store/76...
Shoppers Drug Mart - Windsor - 500 Tecumseh Rd E (Golden Mile Windsor),519-253-1115,asdm1132@shoppersdrugmart.ca,500 Tecumseh Rd EWindsor  ONN8X 2S2,www1.shoppersdrugmart.ca/en/store-locator/store/11...
Shoppers Drug Mart - Windsor - 5050 Tecumseh Rd E,519-948-8108,asdm1112@shoppersdrugmart.ca,5050 Tecumseh Rd EWindsor  ONN8T 1C1,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - 7720 Tecumseh Rd E,519-945-2371,asdm761@shoppersdrugmart.ca,Tecumseh Mall7720 Tecumseh Rd EWindsor  ONN8T 1E9,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - Dougall Ave,519-969-2230,asdm1106@shoppersdrugmart.ca,3950 Dougall Ave  Unit 2Windsor  ONN9G 1X2,www.shopersdrugmart.ca
Shoppers Drug Mart - Windsor - Grand Marais W,519-969-1234,asdm1114@shoppersdrugmart.ca,1421 Grand Marais W  Unit 100Windsor  ONN9E 4V1,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - Howard Ave,519-969-4523,asdm760@shoppersdrugmart.ca,Devonshire Mall3100 Howard AveWindsor  ONN8X 3Y8,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - Howard Ave (Denvonshire Mall),519-969-4523,asdm760@shoppersdrugmart.ca,3175 Howard Ave  Unit T20Windsor  ONN8X 3Y8,www1.shoppersdrugmart.ca/en/store-locator/store/76...
Shoppers Drug Mart - Windsor - Huron Church Rd,519-253-5653,asdm1467@shoppersdrugmart.ca,1760 Huron Church RdWindsor  ONN9C 2L4,www1.shoppersdrugmart.ca/en/store-locator/store/14...
Shoppers Drug Mart - Windsor - Menard St,519-945-2304,asdm1102@shoppersdrugmart.ca,7980 Menard StWindsor  ONN8S 1V9,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - Ottawa St,519-253-2439,asdm1124@shoppersdrugmart.ca,2109 Ottawa StWindsor  ONN8Y 1R8,www.shopperdrugmart.ca
Shoppers Drug Mart - Windsor - Ouellette Ave,519-254-2505,asdm1101@shoppersdrugmart.ca,600 Ouellette AveWindsor  ONN9A 6Z3,www.shoppersdrugmart.ca
Shoppers Drug Mart - Windsor - Seminole St,519-945-2301,asdm1120@shoppersdrugmart.ca,3970 Seminole StWindsor  ONN8Y 4T2,www.shoppersdrugmart.ca
Shoppers Simply Pharmacy - Lasalle - Front Rd,519-734-1747,asdm1391@shoppersdrugmart.ca,2125 Front RdLaSalle  ONN9J 2C1,www.shoppersdrugmart.ca
Shoppers Simply Pharmacy - Windsor - Walker Rd,519-253-2200,asdm3001@shoppersdrugmart.ca,1270 Walker RdWindsor  ONN8Y 4T4,www.shoppersdrugmart.ca
Sobeys Pharmacy - Chatham,519-380-0988,rx7056@sobeys.com,215 Park Ave WChatham  ONN7M 1W3,www.sobeyspharmacy.com/location/chatham
