Store,phone,email,address,website
Campbellville Pharmacy,905-854-0313,johnhan@cogeco.net,35 Crawford Cres  PO Box 405Campbellville  ONL0P 1B0,
Canadian Place Pharmacy,905-232-3004,info@canadianplacepharmacy.com,1055 Canadian Place  Unit 112 and 113Mississauga  ONL4W 0C2,
Capital Pharmacy,905-232-1099,,3075 Hurontario StMississauga  ONL5A 2G9,
Cawthra Drug Store,905-277-1236,,680 Silver Creek Blvd  Unit 7Mississauga  ONL5A 3Z1,
Central All Care Pharmacy,905-306-0606,centralallcare@hotmail.com,City Centre Medical Arts Building3420 Hurontario St  Unit 105Mississauga  ONL5B 4A9,
Central Parkway Pharmacy,905-272-2400,lina@pharmacytp.com,1300 Central Pkwy W  Unit 106Mississauga  ONL5C 4G8,www.pharmacycp.com/index.html
Centre City Pharmacy,905-804-0555,,5560 McAdam RdMississauga  ONL4Z 1P1,
Century City Pharmacy,905-507-8870,centurycitypharmacy@gmail.com,5025 Heatherleigh Ave  Unit 6Mississauga  ONL5V 2Y7,
Ceremonial Pharmacy,905-712-1743,aymandongol@hotmail.com,223 Ceremonial Dr  Unit 2Mississauga  ONL5R 2N3,aymandongol.wixsite.com/website
Chase Pharmacy (The),905-828-8877,thechasepharmacy@gmail.com,1675 The Chase  Units 1-2Mississauga  ONL5M 5Y7,
Churchill Meadows Pharmacy,905-828-7707,,3050 Artesian Dr  Unit 5Mississauga  ONL5M 7P5,
City Gate Drug Store,905-566-4740,,220 Burnhamthorpe Rd W  Unit 105Mississauga  ONL5B 4N4,
Clear View Pharmacy,905-829-2004,info@clearviewpharmacy.ca,1140 Winston Churchill Blvd  Unit A6Oakville  ONL6J 0A3,
Cliffway Pharmacy,905-276-8198,cliffwaypharm@gmail.com,2560 Shepard Ave  Unit 2Mississauga  ONL5A 4E1,
Cloverdale Clinic Pharmacy,416-207-0333,,Etobicoke Mews Plaza225 The East Mall  Unit 9Toronto  ONM9B 6J1,www.enhancedcare.ca
Collegeway Pharmacy (The),905-607-7333,,2686 The CollegewayMississauga  ONL5L 2M9,
Compounding Centre (The) - Oakville - Postmaster Dr,905-469-9988,,2540 Postmaster DrOakville  ONL6M 0N2,www.thecompoundingcentre.com/locations/compounding...
Confederation Drug Store,905-306-7393,,3050 Confederation Pkwy  Unit 107Mississauga  ONL5B 3Z6,
Cooksville Pharmacy,905-896-8788,cliffwaypharm@gmail.com,3035 Hurontario StMississauga  ONL5A 2G9,
Cornwall Pharmacy and Compounding Centre,905-849-0909,,1525 Cornwall Rd  Unit 18Oakville  ONL6J 0B2,
Costco Pharmacy - Mississauga - Dundas St E,905-566-2410,w01169phm@costco.com,1570 Dundas St EMississauga  ONL4X 1L4,www.costcopharmacy.ca
Costco Pharmacy - Mississauga - Laird Rd,905-828-3368,,3180 Laird RdMississauga  ONL5L 6A5,www.costcopharmacy.ca/
Costco Pharmacy - Mississauga - Rodeo Dr,905-568-8037,w526phm@costco.com,5900 Rodeo DrMississauga  ONL5R 3S9,www.costcopharmacy.ca/
Courtesy Pharmacy,905-823-4664,,Clarkson Rd Plaza1603 Clarkson Rd NMississauga  ONL5J 2X1,
Creditview Pharmacy,905-275-6006,,Deer Run Plaza4040 Creditview RdMississauga  ONL5C 3Y8,
Cross Lake Pharmacy,905-891-9800,info@crosslakepharmacy.com,760 Lakeshore Rd E  Unit 104Mississauga  ONL5E 1C7,www.crosslakepharmacy.com
Danton Pharmacy,905-785-9222,,7025 Danton Promenade  Unit 2Mississauga  ONL5N 5E5,danton.ca/
Derry Care Pharmacy,289-785-4383,,Meadowvale North Shopping Centre6990 Financial Dr  Unit 2GMississauga  ONL5N 8J4,
Derry Pharmacy,905-875-3784,,Derry Medical Centre6990 Derry Rd  Unit 101Milton  ONL9T 7H3,
Dixie Village Pharmacy,905-238-6063,,3615 Dixie Rd  Unit 10Mississauga  ONL4Y 4H4,
Dixie-5 Pharmacy,905-896-1313,,1185 Dundas St EMississauga  ONL4Y 2C6,
Dream Crest Pharmacy,905-813-5666,,1010 Dream Crest Rd  Unit 6Mississauga  ONL5V 3A4,
Drug Basics Pharmacy - Oakville,905-257-5400,,478 Dundas St WOakville  ONL6H 6Y3,www.foodbasics.ca/expert.en.html
DrugSmart Pharmacy,,,Lester B Pearson International Airport  Terminal 1  Level 2  EB 22016301 Silver Dart DrMississauga  ONL5P 1B2,www.bedrugsmart.ca/locations
Dunbloor Medical Pharmacy,416-482-1980 ext 5,,5115 Dundas St WToronto  ONM9A 1C1,
Dundas Clinical Pharmacy,905-277-8822,info@dundasclinicalpharmacy.com,55 Dundas St E  Unit 1Mississauga  ONL5A 1W1,www.dundasclinicalpharmacy.com
Dundas Kipling Pharmacy,416-233-2222,dundaskipling@gmail.com,5359 Dundas St WToronto  ONM9B 1B1,
Dundas Pharmacy,905-232-8848,,1133 Dundas St E  Unit 8Mississauga  ONL4Y 2C3,
Dundas427 Medical Pharmacy,905-232-0710,dundas427pharmacy@gmail.com,2200 Dundas St E  Unit 4AMississauga  ONL4X 2V3,www.healthsnap.ca/pharmacy/dundas-427-medical-phar...
Dunwin Pharmacy,905-828-8898,dunwinpharmacy@gmail.com,2111 Dunwin Dr  Unit 6Mississauga  ONL5L 3C1,www.dunwinpharmacy.ca
Edward's Pharmacy,905-338-9911,,170 Rebecca StOakville  ONL6K 1J6,
eMichael Pharmacy & Medical Center,289-628-1920,rx@emichael.ca,802 Southdown Rd  Unit C4Mississauga  ONL5J 2Y4,www.emichael.ca
Erindale Medical Pharmacy,905-270-1200,erindalepharmacy@bellnet.ca,1101 McBride AveMississauga  ONL5C 1M6,erindale-medical-centre-pharmacy.business.site/#su...
Excellent Care Pharmacy,905-232-2111,excellentcare-phm@hotmail.com,3885 Duke of York Blvd  Unit C106Mississauga  ONL5B 0E4,
Extra Mile Pharmacy,905-785-7888,extramilepharmacy@bellnet.ca,Crosscurrent Centre2980 Crosscurrent Dr  Unit 6Mississauga  ONL5N 7C7,
Falconer Pharmacy,905-821-3637,,6675 Falconer Dr  Unit 3Mississauga  ONL5N 0C3,
First Place Pharmacy,905-848-3222,,First Medical Place170 Queensway W  Unit 101Mississauga  ONL5B 3A8,
Floradale Medical Pharmacy,905-279-1773,,2444 Hurontario StMississauga  ONL5B 2V1,www.pharmachoice.com/locations/floradale-medical/
Food Basics Pharmacy - Mississauga - Hurontario St,905-272-2828,,2550 Hurontario StMississauga  ONL5B 1N5,www.foodbasics.ca/drug-basics.en.html
Fortinos DRUGStore Pharmacy - Oakville - Dundas St W,905-257-3749,phr00199@loblaw.ca,493 Dundas St WOakville  ONL6M 4M2,www.fortinos.ca/pharmacy?storeId=0199
Fortinos DRUGStore Pharmacy - Oakville - Lakeshore Rd W,905-845-4946,phr00079@loblaw.ca,173 Lakeshore Rd WOakville  ONL6K 1E7,www.fortinos.ca/pharmacy?storeId=0099
FreshCo Pharmacy - Georgetown - Guelph St,905-873-1195,,325 Guelph StGeorgetown  ONL7G 4B3,www.freshco.com/stores/guelph-sinclair/
Genesis Pharmacy,905-873-1001,,221 Miller Dr  Units 8-9Georgetown  ONL7G 6G4,genesishealthteam.com/pharmacy-1
Georgetown Pharmacy,905-877-8888,info@georgetownpharmacy.ca,118 Mill St  Unit 101Georgetown  ONL7G 2C5,www.georgetownpharmacy.ca
Get Well Pharmacy,416-259-4747,info@drok.ca,1278 The Queensway  Unit 4Toronto  ONM8Z 1S3,www.drok.ca/get-well-pharmacy
Glen Eden Pharmacy,905-878-5111,,Bronte Corporation Centre400 Bronte St S  Unit 102Milton  ONL9T 0H7,
Glen Gate Pharmacy,905-820-5551,,2385 Burnhamthorpe Rd W  Unit 6Mississauga  ONL5L 6A4,
Glenashton Pharmacy,905-842-2300,,333 Glenashton Dr  Unit 1Oakville  ONL6H 7P6,
Glenn Huron Pharmacy,905-890-0303,,1 Glenn Hawthorne Blvd  Unit 5Mississauga  ONL5R 0C2,
Greenfield Pharmacy,905-306-1212,greenfieldpharmacy1212@gmail.com,1053 Dundas St WMississauga  ONL5C 1C3,
Guardian Pharmacy - Etobicoke - Dundas St W,647-725-5143,,5468 Dundas St W  Suite 104Toronto  ONM9B 6E3,www.guardian-ida-pharmacies.ca/en/ontario/toronto/...
Guardian Pharmacy - Etobicoke - Eringate Dr,416-621-3111,gbaslious@gmail.com,BMO Plaza120 Eringate DrToronto  ONM9C 3Z8,www.guardian-ida-pharmacies.ca/en/ontario/etobicok...
Guardian Pharmacy - Georgetown - Main St S (Young's Pharmacy and Homecare),905-877-2711,info@youngspharmacy.com,47 Main St SGeorgetown  ONL7G 3G2,www.youngspharmacy.com
Guardian Pharmacy - Georgetown - Mountainview Rd S (Mountainview Pharmacy),905-877-0700,mountainview_pharmacy@yahoo.ca,378 Mountainview Rd S  Unit 11Georgetown  ONL7G 0L5,www.guardian-ida-pharmacies.ca/en/ontario/georgeto...
Guardian Pharmacy - Mississauga - 1000 Burnhamthorpe Rd W,905-897-8787,yuanmingpharmacy@gmail.com,1000 Burnhamthorpe Rd WMississauga  ONL5C 2S4,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - 720 Burnhamthorpe Rd W,905-615-7777,bestkarepharmacy@outlook.com,720 Burnhamthorpe Rd W  Unit 4Mississauga  ONL5C 3G1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - 780 Burnhamthorpe Rd W,905-273-5666,mediparkpharmacy780@gmail.com,780 Burnhamthorpe Rd W  Unit 4Mississauga  ONL5C 3X3,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Britannia Rd W,905-812-0777,,Janpath Plaza812 Britannia Rd W  Unit 109Mississauga  ONL5V 0A6,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Credit Valley Rd,905-820-5434,info@neilsonpharmacy.ca,2180 Credit Valley RdMississauga  ONL5M 3C9,www.neilsonpharmacy.ca
Guardian Pharmacy - Mississauga - Dundas St W (Dundas Medical Pharmacy),905-275-8500,dundaspharmacy@gmail.com,1224 Dundas St W  Unit 107Mississauga  ONL5C 4G7,
Guardian Pharmacy - Mississauga - Dundas St W (Medi Plus Pharmacy),905-279-6970,,777 Dundas St WMississauga  ONL5C 4S8,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Eglinton Ave E,905-712-4231,,295 Eglinton Ave E  Unit 9Mississauga  ONL4Z 3K6,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Enfield Place,905-276-9488,,265 Enfield Place  Unit R210Mississauga  ONL5B 3Y6,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Heritage Hills Blvd,905-890-1556,heritagehillspharmacy@gmail.com,4646 Heritage Hills Blvd  Units 9-10Mississauga  ONL5R 1Y4,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Kingsbridge Garden Circle,905-568-0022,kingsbridgepharmacy@hotmail.com,20 Kingsbridge Garden Circle  Unit 2Mississauga  ONL5R 3K7,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Lakeshore Rd E,905-271-6699,marcospharmacy@gmail.com,374 Lakeshore Rd EMississauga  ONL5G 1H5,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Mississauga - Lorne Park Rd,905-891-1111,,1107 Lorne Park Rd  Unit 11Mississauga  ONL5H 3A1,www.janespharmacy.ca
Guardian Pharmacy - Mississauga - Montevideo Rd,905-814-5551,,6700 Montevideo Rd  Unit 6Mississauga  ONL5N 1V1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
Guardian Pharmacy - Oakville - Cornwall Rd,905-845-8999,info@morellispharmacy.com,469 Cornwall RdOakville  ONL6J 7S8,www.morellispharmacy.com
Guardian Pharmacy - Oakville - Dundas St E,905-257-1277,info@morellispharmacy.com,338 Dundas St EOakville  ONL6H 6Z9,www.morellispharmacy.com
Guardian Pharmacy - Oakville - Lakeshore Rd E,905-338-1919,,347 Lakeshore Rd EOakville  ONL6J 1J5,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
Guardian Pharmacy - Oakville - Lakeshore Rd W,905-847-8200,,2222 Lakeshore Rd W  Unit 2220Oakville  ONL6L 5G5,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
Guardian Pharmacy - Oakville - Trafalgar Rd,905-845-0800,,Trafalgar Professional Centre1235 Trafalgar RdOakville  ONL6H 3P1,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
Guardian Pharmacy - Oakville - Wyecroft Rd,905-469-6523,info@morellispharmacy.com,3455 Wyecroft RdOakville  ONL6L 0B1,www.morellispharmacy.com/locations-and-hours/
Guru Nanak Dev Pharmacentre,905-813-3970 or 905-813-1100 ext 3970,,Trillium Health Partners  Credit Valley Hospital2200 Eglinton Ave WMississauga  ONL5M 2N1,
Halton Pharmacy,905-842-4266,haltonpharmacy@gmail.com,Oakville Health Centre (The)1060 Speers Rd  Suite 112Oakville  ONL6L 2X4,www.haltonpharmacy.ca
Hanin Pharmacy,905-306-7878,,333 Dundas St E  Suite 103Mississauga  ONL5A 1X1,
Hawthorne Pharmacy,905-878-9292,,Hawthorne Village Square Plaza10220 Derry Rd  Unit 105AMilton  ONL9T 7J3,www.hawthornepharmacy.com
Healing Hands Pharmacy,905-997-0153,,3105 Winston Churchill Blvd  Unit 22Mississauga  ONL5L 5S3,
Health Plus Pharmacy,905-890-2040,,640 Eglinton Ave W  Unit 3Mississauga  ONL5R 3V2,
Heartland Health Pharmacy,905-919-2200,heartpharmacy@hotmail.com,Heartland Town Centre775 Britannia Rd W  Unit 12Mississauga  ONL5V 2Y1,www.heartlandhealthpharmacy.com/pharmacy/
Heritage Glen Pharmacy,905-567-5800,info@applehillspharmacy.com,6515 Glen Erin DrMississauga  ONL5N 8P9,www.applehillspharmacy.com/heritage-glen/
Hooper's Pharmacy,905-278-4242,pcrx@hoopershealth.com,88 Lakeshore Rd EMississauga  ONL5G 1E1,hoopershealth.com/index.php/contact/location/
IDA Pharmacy - Etobicoke - Renforth Dr (Renforth Pharmacy),416-622-0300,,Renforth Plaza460 Renforth Dr  Unit 10Toronto  ONM9C 2N2,www.guardian-ida-pharmacies.ca/en/ontario/etobicok...
IDA Pharmacy - Etobicoke - Sherway Dr (Queensway Health Pharmacentre),416-521-4111,,150 Sherway DrEtobicoke  ONM9C 1A5,www.guardian-ida-pharmacies.ca/en/ontario/toronto/...
IDA Pharmacy - Etobicoke - The West Mall (Glen Cade Pharmacy),416-622-2111416-622-2220,,The West Mall Shopping Centre290 The West MallToronto  ONM9C 1C6,www.glencadepharmacy.ca/
IDA Pharmacy - Georgetown - Guelph St (King Cove Pharmacy),905-873-8880,kingcoverx@gmail.com,King's Cove Place156 Guelph St  Unit 4Georgetown  ONL7G 4A6,www.guardian-ida-pharmacies.ca/en/ontario/georgeto...
IDA Pharmacy - Mississauga - 1207 Hurontario St (Carl's Pharmacy),905-278-7041,,1207 Hurontario StMississauga  ONL5G 3H2,www.carlspharmacy.ca/
IDA Pharmacy - Mississauga - 2555 Erin Centre Blvd (Erin Centre Pharmacy),905-816-9300,erincentrepharmacy@gmail.com,2555 Erin Centre Blvd  Unit 16Mississauga  ONL5M 5H1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Battleford Rd (Battleford Pharmacy),905-858-1600,info@battlefordpharmacy.ca,6405 Erin Mills Pkwy  Unit A-01Mississauga  ONL5N 4H4,www.battlefordpharmacy.ca
IDA Pharmacy - Mississauga - Central Pkwy W (Unicare Pharmacy),905-361-1335,unicare325@gmail.com,325 Central Pkwy W  Unit 29Mississauga  ONL5B 3X9,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Confederation Pkwy (Parkside Pharmacy),289-914-0099,parksideidapharmacy@gmail.com,4062 Confederation PkwyMississauga  ONL5B 0G4,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Credit Woodlands (Woodland IDA Pharmacy),905-279-5353,info@adapthhc.com,3353 The Credit Woodlands  Unit 2Mississauga  ONL5C 2K1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Derry Rd W (Glen Derry Pharmacy),289-997-3203,glenderrypharmacy@gmail.com,2760 Derry Rd W  Unit 3Mississauga  ONL5N 3N5,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Dundas St E (Peckett's Pharmacy),905-270-1974,,60 Dundas St EMississauga  ONL5A 1W4,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Dundas St W (Woodchester Pharmacy),905-822-9500,info@woodchesterida.com,2458 Dundas St W  Unit 13Mississauga  ONL5K 1R8,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Eglinton Ave W (Care Plus Pharmacy),905-502-6000,careplusph2015@gmail.com,Confederation Plaza480 Eglinton Ave W  Unit 46Mississauga  ONL5R 0G2,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Erin Mills Pkwy (Erin Mills Pharmacy),905-820-3761,,4099 Erin Mills PkwyMississauga  ONL5L 3P9,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Fowler Dr (Van Mills Pharmacy),905-403-0400,vanmillspharmacy@hotmail.com,1900 Fowler Dr  Unit D114Mississauga  ONL5K 0A1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Glen Erin Dr (Thomas Pharmacy),905-819-9000,,5636 Glen Erin Dr  Unit 2Mississauga  ONL5M 6B1,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Queen St S (Robinson Pharmacy),905-826-1115,,181 Queen St SMississauga  ONL5M 1L2,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Queensway W (Mississauga Hospital Pharmacentre),905-848-7599,,100 Queensway WMississauga  ONL5B 1B8,www.guardian-ida-pharmacies.ca/en/ontario/mississa...
IDA Pharmacy - Mississauga - Truscott Dr (Truscott Pharmacy),905-822-1614,info@adapthhc.com,Park Royal Plaza2425 Truscott DrMississauga  ONL5J 2B4,www.adapthomehealthcare.com
IDA Pharmacy - Oakville - Argus Rd (St Mark's Pharmacy),905-845-6125,,586 Argus RdOakville  ONL6J 3J3,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
IDA Pharmacy - Oakville - Ford Dr (Ford Dr Pharmacy),905-845-3673,,609 Ford Dr  Unit 7Oakville  ONL6J 7Z6,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
IDA Pharmacy - Oakville - Grosvenor St (Medicare Pharmacy),905-338-3100,,2165 Grosvenor St  Unit 3Oakville  ONL6H 5K9,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
IDA Pharmacy - Oakville - Kerr St,905-844-1671,kerrpharmacy@gmail.com,496 Kerr StreetOakville  ONL6K 3C5,kerr-speers-pharamacy.business.site/
IDA Pharmacy - Oakville - Oak Park Blvd (Central Park Pharmacy),905-257-1217,,216 Oak Park Blvd  Unit 1Oakville  ONL6H 7S8,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
IDA Pharmacy - Oakville - Queensbury Cres (Upper Middle Pharmacy),905-815-9111,uppermiddlepharmacy@bellnet.ca,College Park Plaza1534 Queensbury Cres  Unit 2Oakville  ONL6H 4G5,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
IDA Pharmacy - Oakville - Third Line (Royal Oak Pharmacy),905-469-8830,,Sun Valley Square2524 Third Line  Unit 1Oakville  ONL6M 0G8,www.guardian-ida-pharmacies.ca/en/ontario/oakville...
James Snow Pharmacy,905-636-1799,info@jamessnowmedicalcentre.ca,51 James Snow Pkwy N  Unit C3Milton  ONL9T 0R3,www.jamessnowmedicalcentre.ca/
JC Pharmacy,905-897-3320,,888 Dundas St E  Unit B4-2Mississauga  ONL4Y 4G6,
Jennas Pharmacy,905-306-0111,info@jennaspharmacy.ca,796 Burnhamthorpe Rd W  Unit 2Mississauga  ONL5C 2R9,
Kennedy Pharmacy,905-568-1900,,510 Driftcurrent Dr  Unit 6Mississauga  ONL4Z 4B4,
King Medical Arts Pharmacy and Home Healthcare,905-270-2226,,71 King St W  Suite 100Mississauga  ONL5B 4A2,www.kingmedicalartspharmacy.ca
Kingsway Pharmacy,416-845-0374,pharmacykingsway@gmail.com,2828 Kingsway Dr  Unit 9Oakville  ONL6J 7M2,www.pharmacykingsway.com
KJK Pharmacy,416-943-6284,erindalemedical@gmail.com,1100 Dundas St W  Unit 6Mississauga  ONL5C 4E7,
Lakeshore Woods Pharmacy,905-465-2626,lakeshorewoodspharmacy@gmail.com,3420 Rebecca St  Units 6-7Oakville  ONL6L 6W2,www.lswmc.com/pharmacy
Latino Pharmacy,905-277-9677,,79 Dundas St W  Unit 102Mississauga  ONL5B 1H7,
Life Watch Pharmacy,905-272-9191,,Cooksville Plaza40 Dundas St W  Unit 7AMississauga  ONL5B 1H4,
Lighthouse Pharmacy,905-278-0747,lighthousedrugstore@gmail.com,223 Lakeshore Rd EMississauga  ONL5G 1G5,
Lisgar Woods Pharmacy,905-824-5999,lisgarwoodsrx@gmail.com,6970 Lisgar Dr  Unit B2Mississauga  ONL5N 8C8,www.lisgarwoodspharmacy.ca
LMC Pharmacy - Oakville,289-856-9778,pharmacy@lmc.ca,3075 Hospital Gate  Suite 301Oakville  ONL6M 1M1,www.diabetessource.ca
Loblaws DRUGStore Pharmacy - Etobicoke - The East Mall,416-695-0610,,380 The East MallToronto  ONM9B 6L5,www.loblaws.ca/pharmacy?storeId=1066
Loblaws DRUGStore Pharmacy - Mississauga - Glen Erin Dr,905-607-1253,phr01011@loblaw.ca,5010 Glen Erin DrMississauga  ONL5M 6J3,www.loblaws.ca/pharmacy?storeId=1011
Loblaws DRUGStore Pharmacy - Mississauga - Lakeshore Rd W,905-271-3931,phr01090@loblaw.ca,Loblaws Store250 Lakeshore Rd WMississauga  ONL5H 1G6,www.loblaws.ca/store-locator/details/1090
Loblaws DRUGStore Pharmacy - Mississauga - McLaughlin Rd,905-568-4143,,5970 McLaughlin RdMississauga  ONL5R 3X9,www.loblaws.ca/pharmacy?storeId=1003
Loblaws Pharmacy (NoFrills) - Etobicoke - 1020 Islington Ave,416-234-1204,phr00753@loblaw.ca,1020 Islington AveToronto  ONM8Z 4R3,www.nofrills.ca/pharmacy
Main Drug Mart - Mississauga - 3415 Dixie Rd,905-629-1114,,3415 Dixie Rd  Unit 5Mississauga  ONL4Y 2B1,
Main Drug Mart - Mississauga - Duke of York Blvd,905-848-4844,mdmmississauga1@gmail.com,3885 Duke of York Blvd  Unit 104Mississauga  ONL5B 0E4,
Main St Centre Pharmacy - Milton - Main St E,905-875-4999 or 905-875-1980,mainstpharmacy@bellnet.ca,875 Main St EMilton  ONL9T 3Z3,www.mainstreetcentrepharmacy.com/
Maple Medical Pharmacy - Milton - Maple Ave,905-876-5111,,1079 Maple Ave  Unit 2Milton  ONL9T 0A5,
Marketplace Pharmacy - Milton,905-864-1600,marketplacemilton@gmail.com,Milton Marketplace Plaza1015 Bronte St S  Unit 5bMilton  ONL9T 8X3,
Marketplace Pharmacy - Mississauga,905-507-4311,mpswl@yahoo.com,4555 Hurontario St  Unit C7Mississauga  ONL4Z 3M1,
Markland Wood Pharmacy,416-621-2000,contact@marklandwoodpharmacy.ca,Markland Woods Plaza4335 Bloor St WEtobicoke  ONM9C 2A5,www.marklandwoodpharmacy.ca
Matthews Gate Pharmacy,905-232-4500,,3662 Hurontario St  Unit 5Mississauga  ONL5B 1P3,matthewsgatemedica.wixsite.com/website
MDM Pharmacy,905-896-2424,info@mdmpharmacy.com,Dixie Road Medical Associates Clinic2200 Dixie RdMississauga  ONL4Y 1Z4,mdmpharmacy.com/index.html
Meadowvale Pharmacy,905-824-0701,meadowvalepharmacy@gmail.com,6750 Winston Churchill Blvd  Unit 9AMississauga  ONL5N 4C4,
Meadowvale Professional Centre Pharmacy,905-821-9992,mpcp.pharmacy@bellnet.ca,6855 Meadowvale Town Centre CircleMississauga  ONL5N 2Y1,
Medcare Pharmacy,905-842-7415,,Argus Medical Centre581 Argus RdOakville  ONL6J 3J4,
Medical Building Pharmacy,905-279-1360,medbldpharm@gmail.com,21 Queensway WMississauga  ONL5B 1B6,
Medicine Shoppe (The) - Milton - 400 Main St E,905-876-4466,ms0289@store.medicineshoppe.ca,400 Main St E  Unit 112Milton  ONL9T 4X5,www.medicineshoppe.ca/en/ontario/milton/the-medici...
