Store,phone,email,address,website
Guardian Pharmacy - London - Wonderland Rd S (Wonderland Pharmacy),519-649-2520,,1061 Wonderland Rd S  Unit 2London  ONN6K 3X4,www.guardian-ida-pharmacies.ca/en/ontario/london/w...
Guardian Pharmacy - Mount Brydges - Southwest Middlesex Health Centre,519-264-2023,info@smhc.net,22262 Mill Rd  RR 5Mount Brydges  ONN0L 1W0,www.smhc.net
Guardian Pharmacy - Paisley,519-353-5707,paisleypharmacy@eastlink.ca,Box 579Paisley  ONN0G 2N0,www.paisleypharmacy.ca
Guardian Pharmacy - Plattsville,226-656-0111,info@plattsvillepharmacy.com,PO Box 190Plattsville  ONN0J 1S0,www.guardian-ida-pharmacies.ca/en/ontario/plattsvi...
Guardian Pharmacy - Sauble Beach,519-422-2584,,329 Main StSauble Beach  ONN0H 2G0,www.guardian-ida-pharmacies.ca
Guardian Pharmacy - St Marys - Wellington St S (Jackson's),519-284-1491,,Box 448St Marys  ONN4X 1B2,www.jacksonspharmacy.ca
Guardian Pharmacy - Stratford - Wellington St (Sinclair),519-271-8940,,Box 21055Stratford  ONN5A 7V4,www.sinclairpharmacy.ca
Guardian Pharmacy - Strathroy - Front St W,519-245-3810,info@bossonspharmacy.com,35 Front St WStrathroy  ONN7G 1X5,www.guardian-ida-pharmacies.ca/en/ontario/strathro...
Guardian Pharmacy - Walkerton (Brown's),519-881-2420,frontshop@brownspharmacy.ca,Box 969Walkerton  ONN0G 2V0,www.brownspharmacy.ca
Hamilton Pharmacy,519-204-1540,,204 Hamilton RdLondon  ONN6B 3H2,
Health Centre Pharmacy - St Thomas,519-631-1550,,St Thomas Family Health Centre230 First AveSt Thomas  ONN5R 4P5,www.healthcentrepharmacy.ca
Health Depot (The),226-330-0200,,629 Consortium CourtLondon  ONN6E 2S8,www.thehealthdepot.ca
Hensall Pharmacy,519-262-3337,,121 King StHensall  ONN0M 1X0,
Hubbard Pharmacy,519-284-1380,info@hubbardpharmacy.ca,PO Box 957St Marys  ONN4X 1B6,www.hubbardpharmacy.ca
Hyde Park Care Pharmacy,519-473-0444,hydeparkcareph@gmail.com,1195 Hyde Park Rd  Unit 2London  ONN6H 5K6,hydeparkcarepharmacy.com/pharmacy/
IDA Pharmacy - Aylmer,519-765-1088,,6 Talbot St EAylmer  ONN5H 1H4,www.guardian-ida-pharmacies.ca
IDA Pharmacy - Dorchester,519-268-6060,,4327 Hamilton Rd  Suite 3Dorchester  ONN0L 1G3,www.guardian-ida-pharmacies.ca/en/ontario/dorchest...
IDA Pharmacy - Durham (Rx Drug Mart Garafraxa),519-369-3340,rxdm5003@rxdm.ca,203-207 Garafraxa St NDurham  ONN0G 1R0,www.guardian-ida-pharmacies.ca/en/ontario/durham/r...
IDA Pharmacy - Dutton (Highland Pharmacy),519-762-3218,,172 Currie RdDutton  ONN0L 1J0,www.guardian-ida-pharmacies.ca/en/ontario/dutton/h...
IDA Pharmacy - Exeter (Huron Apothecary),519-235-1982,,PO Box 2404Exeter  ONN0M 1S7,
IDA Pharmacy - Goderich (De Jager Town Square),519-524-7228,townsquareida@gmail.com,112 The SquareGoderich  ONN7A 1M8,www.townsquareida.com
IDA Pharmacy - London - Wonderland Rd N (London Medical Plex),519-473-4848,,Active Care Medical Centre1807 Wonderland Rd NLondon  ONN6G 5C2,www.guardian-ida-pharmacies.ca
IDA Pharmacy - London - Wonderland Rd S (Dini Pharmacy),519-657-8668,idapharmacydini@gmail.com,Westmount Shopping Centre785 Wonderland Rd S  Main FlLondon  ONN6K 1M6,
IDA Pharmacy - Markdale,519-986-9991,markdalepharmacy@bellnet.ca,29 Toronto St NMarkdale  ONN0C 1H0,www.guardian-ida-pharmacies.ca
IDA Pharmacy - Meaford,226-662-7000,admin@meafordpharmacy.com,334 Sykes St SMeaford  ONN4L 1X1,www.guardian-ida-pharmacies.ca/en/ontario/meaford/...
IDA Pharmacy - Mitchell (Walther's),519-348-8833,walthersida@ezlink.ca,PO Box 518Mitchell  ONN0K 1N0,www.walthersida.ca
IDA Pharmacy - Owen Sound,226-664-5025,owensoundida@gmail.com,810 10th St W  Unit 6Owen Sound  ONN4K 3S1,www.owensoundpharmacy.com
IDA Pharmacy - Parkhill,519-294-6314,,PO Box 38Parkhill  ONN0M 2K0,
IDA Pharmacy - Port Burwell,519-874-7474,,41 Robinson StPort Burwell  ONN0J 1T0,www.guardian-ida-pharmacies.ca/en/ontario/port-bur...
IDA Pharmacy - Port Stanley (Highland Drug Mart),519-782-3324,,222 Colborne StPort Stanley  ONN5L 1C2,www.guardian-ida-pharmacies.ca
IDA Pharmacy - Tavistock,519-655-2111,,17 Woodstock St STavistock  ONN0B 2R0,www.guardian-ida-pharmacies.ca/en/ontario/tavistoc...
IDA Pharmacy - Thorndale,519-461-0431,,21831 Fairview Rd  RR 3Thorndale  ONN0M 2P0,www.guardian-ida-pharmacies.ca/en/ontario/thorndal...
IDA Pharmacy - Tillsonburg (Tillsonburg Care Pharmacy),519-842-2020,tillsonburgcarepharmacy@gmail.com,594 Broadway St  Suite 1Tillsonburg  ONN4G 5K9,
IDA Pharmacy - Wiarton (McKenzie's),519-534-0230,,PO Box 340Wiarton  ONN0H 2T0,www.guardian-ida-pharmacies.ca
IDA Pharmacy - Wingham (Rx Drug Mart),519-357-2170,,PO Box 1090Wingham  ONN0G 2W0,
IDA Pharmacy - Woodstock (Princess),519-421-1222,,600 Princess St  Suite 201Woodstock  ONN4S 4H4,www.guardian-ida-pharmacies.ca/en/ontario/woodstoc...
Ilderton Medical Pharmacy,519-666-0777,info@ildertonmedicalpharmacy.ca,13187 Ilderton Rd  Unit 1Ilderton  ONN0M 2A0,
Independent Grocer DRUGStore Pharmacy - Exeter (Hansen's),519-235-0751,,Hansen's Independent Grocer62 Thames Rd EExeter  ONN0M 1S3,www.yourindependentgrocer.ca/store-locator/details...
Independent Grocer DRUGStore Pharmacy - Hanover (Grant's),519-364-7310,,Grant's Independent Grocer832 10th StHanover  ONN4N 1S3,www.drugstorepharmacy.ca
Independent Grocer DRUGStore Pharmacy - Port Elgin (Rowland's),519-389-6805,phr02638@loblaw.ca,Rowland's Independent Grocer1244 Goderich St (Hwy 21)Port Elgin  ONN0H 2C0,www.drugstorepharmacy.ca
Independent Grocer DRUGStore Pharmacy - St Marys (McDonald's),519-284-3716,,McDonald's Indpendent Grocer780 Queen St E  Box 220St Marys  ONN4X 1B1,www.yourindependentgrocer.ca/store-locator/details...
Keating's Pharmacy,519-527-1990,,67 Main St S  Box 39Seaforth  ONN0K 1W0,
Knight Hill Pharmacy,519-601-8070,knighthillpharmacy@gmail.com,551 Knights Hill Rd  Suite 1London  ONN6J 3A1,
Komoka Pharmacy,519-641-0909,,9952 Glendon Dr  Unit 3Komoka  ONN0L 1R0,
Kristen's Pharmacy,519-483-5085,kristenspharmacyrxhealthmed@gmail.com,197 Albert St S  Unit 3Southampton  ONN0H 2L0,
Lambeth Drugs,519-652-3306,,Box 969London  ONN6P 1R2,
Loblaw DRUGStore Pharmacy - London - Richmond St N,519-673-5215,phr01027@loblaw.ca,1740 Richmond St NLondon  ONN5X 4E9,www.loblaws.ca/store-locator/details/1027
Loblaw Great Food DRUGStore Pharmacy - London - Wonderland Rd S,519-668-3799,phr01016@loblaw.ca,3040 Wonderland Rd SLondon  ONN6L 1A6,www.loblaws.ca/store-locator/details/1016
London Care Pharmacy,519-663-9000,londoncarepharmacy@gmail.com,140 Oxford St E  Suite 101London  ONN6A 5R9,www.londoncarepharmacy.com
Pharmacy,Automated Switchboard: 519-685-8500General Information: 519-685-8380Patient Information: 519-667-6619,,790 Commissioners Rd E  Level 2London  ONN6A 4L6,www.lhsc.on.ca/About_Us/LRCP/
Prescription Centre Pharmacy,519-663-3231,prescriptioncentreuh@lhsc.on.ca,University Hospital339 Windermere RdLondon  ONN6A 5A5,www.lhsc.on.ca/About_Us/Prescription_Centres/UH/in...
North Tower Prescription,519-685-8082,prescriptioncentrent@lhsc.on.ca,800 Commissioners Rd ELondon  ONN6A 5W9,www.lhsc.on.ca/pharmacy
Prescription Centre Pharmacy,519-685-8172,phwt@lhsc.on.ca,800 Commissioners Rd E  A2-400London  ONN6A 5W9,www.lhsc.on.ca/pharmacy
London Medical Pharmacy - London - 1617 Dundas St,519-951-0990,,1617 Dundas StLondon  ONN5W 3C3,
London Medical Pharmacy - London - 1892 Dundas St,519-455-8800,,1892 Dundas StLondon  ONN5W 3G4,
London Medical Pharmacy - London - 528 Dundas St,519-645-1766,,528 Dundas StLondon  ONN6B 1W6,
London Medical Pharmacy - London - Adelaide St N,519-434-5333,,1135 Adelaide St NLondon  ONN5Y 5K7,
London Medical Pharmacy - London - Bradley Ave (Bradley Medical Centre),519-680-2265,,Bradley Medical Centre595 Bradley AveLondon  ONN6E 3Z8,
London Medical Pharmacy - London - Southdale Rd E,519-204-1037,,769 Southdale Rd E  Unit 9BLondon  ONN6E 3B9,
Lucan Drug Mart,519-227-4792,,180 Main StLucan  ONN0M 2J0,
Masonville Pharmacy,519-667-7800,londomason@hotmail.com,1673 Richmond St N  Unit 4London  ONN6G 2N3,
McKechnie Pharmacy,519-396-2133,,Kincardine Community Medical Clinic Building1201 Queen St  Lower levelKincardine  ONN2Z 3C1,
Medical Access Care Pharmacy - Woodstock,519-421-7340,,Medical Access Care Pharmacy729 Devonshire Ave  Unit 4Woodstock  ONN4S 5R3,
Medical Pharmacy - London - Oxford St W (Chelsey Park),519-672-4309,,312 Oxford St WLondon  ONN6H 4N7,www.medicalpharmacies.com/location-london-MP36
Medical Pharmacy - London - Sarnia Rd,519-641-8181,,520 Sarnia Rd  Suite 1London  ONN6G 5A3,www.medicalpharmacies.com/location-london-MP39
Medical Pharmacy - Stratford,519-272-0888,,Jenny Trout Centre342 Erie St  Unit 109Stratford  ONN5A 2N4,
Medicine Shoppe (The) - London - Commissioners Rd W,519-471-1752,wecompoundmeds@rogers.com,312 Commissioners Rd W  Unit 8London  ONN6J 1Y3,www.medicineshoppe.ca/en/ontario/london/the-medici...
Medicine Shoppe (The) - London - King St,519-435-0675,,413 King StLondon  ONN6B 1S5,www.medicineshoppe.ca
Medicine Shoppe (The) - London - Wharncliffe Rd N (Asha),519-434-4774,ms0190@store.medicineshoppe.ca,Wharncliffe Health Centre279 Wharncliffe Rd N  101London  ONN6H 2C2,www.medicineshoppe.ca/en/ontario/london/the-medici...
MediSystem Pharmacy - London,519-681-9020,,1100 Dearness Dr  Unit 27-30London  ONN6E 1M2,www.medisystempharmacy.com
Medsave Pharmacy - London - Wharncliffe Rd N,519-435-0100,,240 Wharncliffe Rd N  Suite 102London  ONN6H 4P2,
Metro Pharmacy - London - Adelaide St N,519-672-9205,,1030 Adelaide St NLondon  ONN5Y 2M9,www.metro.ca/en/find-a-grocery/228
Metro Pharmacy - London - Commissioners Rd W (Byron),519-641-4646,,1244 Commissioners Rd WLondon  ONN6K 1C7,www.metro.ca/en/find-a-grocery/229
Metro Pharmacy - London - Wellington Rd S,519-680-2375,,395 Wellington Rd SLondon  ONN6C 4P9,www.metro.ca/en
Mitchell Medical Pharmacy,519-348-9100,prosser@mitchellmedicalpharmacy.ca,7 Frances St  PO Box 1073Mitchell  ONN0K 1N0,www.mitchellmedicalpharmacy.ca
My Care Pharmacy,519-601-6462,nhanif@rogers.com,844 Wonderland Rd S  Unit BLondon  ONN6K 2V8,
Nofrills DRUGstore Pharmacy - London - Base Line Rd E,519-679-9887,phr01302@loblaw.ca,7 Baseline Rd ELondon  ONN6C 5Z8,www.nofrills.ca/pharmacy?storeId=1302
Nofrills DRUGstore Pharmacy - London - Fanshawe Park Rd W,519-473-4775,phr00784@loblaw.ca,599 Fanshawe Park Rd WLondon  ONN6G 5B3,www.nofrills.ca/pharmacy?storeId=3664
Nofrills DRUGStore Pharmacy - London - Southdale Rd E (Cayle's),519-686-8007,phr03923@loblaw.ca,635 Southdale Rd ELondon  ONN6E 3W6,www.nofrills.ca/pharmacy?storeId=3689
Nofrills DRUGStore Pharmacy - Owen Sound,519-370-0346,phr03461@loblaw.ca,Bergen NoFrills1020 10th St WOwen Sound  ONN4K 2S1,www.nofrills.ca/store-locator/details/3461
Nofrills Loblaw Pharmacy - Aylmer,519-765-2915,phr01335@loblaw.ca,657 John St NAylmer  ONN5H 3J1,www.nofrills.ca/store-locator/details/1335
North London Medical Pharmacy,519-474-1313,northlondon.pharmacy@gmail.com,North London Medical Centre1055 Fanshawe Park Rd W  Suite 102London  ONN6G 0W7,
Northland Pharmacy,519-457-6050,,1251 Huron St  Unit 112London  ONN5Y 4V1,
Oxbury Pharmacy,519-204-9060,oxburypharmacy@gmail.com,1299 Oxford St ELondon  ONN5Y 4W5,
Oxford Pharmacy,519-601-1177,rph@oxfordpharmacy.ca,931 Oxford St ELondon  ONN5Y 3K1,
Peninsula Pharmacy,519-793-3200,,Box 10Lion's Head  ONN0H 1W0,
PharmaChoice - Aylmer - Talbot St E (Hills Pharmacy),519-765-1271,hillspills@amtelecom.net,35 Talbot St EAylmer  ONN5H 1H3,www.hillspharmacy.ca
PharmaChoice - Aylmer - Talbot St W (Hills Clinic Pharmacy),519-765-2880,hillsclinic@amtelecom.net,420 Talbot St WAylmer  ONN5H 1K9,www.hillspharmacy.ca
PharmaChoice - Brussels,226-889-4152,brussselspharmachoice@gmail.com,453 Turnberry StBrussels  ONN0G 1H0,www.pharmachoice.com/locations/brussels/
PharmaChoice - Clinton (K and J Pharmacy),519-482-9511,,PO Box 727Clinton  ONN0M 1L0,www.pharmachoice.com/on/k-and-j
PharmaChoice - Ingersoll - Thames St S (Young's),519-425-1599,,136 Thames St SIngersoll  ONN5C 2T4,www.pharmachoice.com/locations/youngs/
PharmaChoice - London - Hamilton Rd (Ealing Pharmacy),519-451-3590,ealingpharmacy@hotmail.com,873 Hamilton RdLondon  ONN5Z 1V8,www.pharmachoice.com/on/ealing
PharmaChoice - London - Main St E (Greenhills Pharmacy),519-652-9066,pch597@pharmachoice.com,2335 Main St ELondon  ONN6P 1A7,www.pharmachoice.com/on/greenhills-london
PharmaChoice - London Centre,519-601-5530,,1080 Adelaide St N  Unit 21London  ONN5Y 2N1,www.pharmachoice.com/on/london-centre
PharmaChoice - Milverton (Village Pharmacy),519-595-8300,villagepharmacy137@gmail.com,8 Main St NMilverton  ONN0K 1M0,
PharmaChoice - St Thomas (Wellington Medical),519-637-9900,pch559@pharmachoice.com,460 Wellington St  Unit 101St Thomas  ONN5R 6H9,pharmachoice.com/on/wellington-medical
PharmaChoice - Tillsonburg (Coward),519-842-4081,cowardpharmacy@pharmachoice.com,165 BroadwayTillsonburg  ONN4G 3P9,www.cowardpharmacy.ca
PharmaChoice - West Elgin,519-768-1440,pch730@pharmachoice.com,229 Graham RdWest Lorne  ONN0L 2P0,www.pharmachoice.com/on/west-elgin
Pharmasave - Bayfield - Main St S (Michael's),519-565-4454,,2 Main St S  PO Box 550Bayfield  ONN0M 1G0,pharmasave.com/store/pharmasave-michaels/
Pharmasave - Clinton (Michael's),519-482-5037,,Box 160Clinton  ONN0M 1L0,pharmasave.com/store/pharmasave-clinton/
Pharmasave - Goderich (Michael's Pharmacy),519-524-2242,,181 Cambria Rd NGoderich  ONN7A 2R2,pharmasave.com/store/pharmasave-michaels-pharmacy/
Pharmasave - Hanover,519-364-4422,pharmasave@wightman.ca,118 7th Ave  Suite 101Hanover  ONN4N 2G9,pharmasave.com/store/pharmasave-hanover-pharmasave...
Pharmasave - Ingersoll,519-485-2300,hello@ingersollpharmasave.com,Ingersoll Centre for Health and Wellness19 King St EIngersoll  ONN5C 1G3,www.ingersollpharmasave.com
Pharmasave - Kincardine (Gordon),519-396-3364,,767 Queen StKincardine  ONN2Z 2Y2,www.pharmasave.com
Pharmasave - Listowel,519-815-1515,,130 Argyle Ave NListowel  ONN4W 1M8,www.pharmasave.com
Pharmasave - London - Adelaide St N,519-858-3101,,1464 Adelaide St N  Unit 5London  ONN5X 1K4,pharmasave.com/store/pharmasave-adelaide-north-pha...
Pharmasave - London - Aldersbrook Rd (MedicalRx),519-471-0666,,1476 Aldersbrook RdLondon  ONN6G 0P5,pharmasave.com/store/pharmasave-medical-rx-pharmac...
Pharmasave - London - Dundas St,519-204-4120,,637 Dundas StLondon  ONN5W 2Z1,pharmasave.com/store/pharmasave-medsave-pharmacy/
Pharmasave - London - Highbury Ave N (Huron Heights),519-453-0920,,1295 Highbury Ave N  Unit C1London  ONN5Y 5L3,pharmasave.com/store/pharmasave-huron-heights/
Pharmasave - London - Richmond St,519-601-1020,,825 Richmond StLondon  ONN6A 3H7,pharmasave.com/store/pharmasave-core-care-pharmacy...
Pharmasave - London - Southdale Rd E,519-685-6565,,510 Southdale Rd E  Unit 102London  ONN6E 1A5,pharmasave.com/store/pharmasave-nixon-pharmacy
Pharmasave - London - Wellington Rd S (Medcen),519-672-1337,,339 Wellington Rd SLondon  ONN6C 5Z9,pharmasave.com/store/pharmasave-medcen/
Pharmasave - London - Wortley Rd,519-438-6600,,190 Wortley Rd  Suite 206London  ONN6C 4Y7,pharmasave.com/store/pharmasave-wortley-village/
Pharmasave - Lucknow,519-528-3004,,622 Campbell StLucknow  ONN0G 2H0,www.pharmasave.com
Pharmasave - Norwich,519-863-2288,,24 Main St WNorwich  ONN0J 1P0,pharmasave.com/store/pharmasave-norwich-pharmacy/
Pharmasave - Owen Sound (Sally's Pharmacy),226-664-2144,sallyspharmasave@gmail.com,1565 16th St E  Unit 4Owen Sound  ONN4K 5N3,www.pharmasave.com/owen-sound-sallys/
Pharmasave - Owen Sound (Turbitt),519-376-0120,turbittpharmasave@gmail.com,1010 9th Ave WOwen Sound  ONN4K 5R7,www.pharmasave.com
Pharmasave - Port Elgin (Wardrop),519-832-2015,,PO Box 100Port Elgin  ONN0H 2C0,www.pharmasave.com/port-elgin/
Pharmasave - Port Rowan,519-586-3983,PRpharmasave@gmail.com,PO Box 39Port Rowan  ONN0E 1M0,www.portrowanpharmasave.com
Pharmasave - St Thomas (Elgin Mall),519-631-5551,,417 Wellington St  Suite 109St Thomas  ONN5R 5J5,www.pharmasave.com
Pharmasave - Stratford,519-273-7007,,Festival Marketplace Mall1067 Ontario St  Unit E13Stratford  ONN5A 6W6,pharmasave.com/store/pharmasave-stratford-pharmasa...
Pharmasave - Thamesford,519-285-2425,,Box 308Thamesford  ONN0M 2M0,pharmasave.com/store/pharmasave-thamesford/
Pharmasave - Thornbury,519-599-2719,,45 Arthur St WThornbury  ONN0H 2P0,pharmasave.com/store/pharmasave-thornbury/
Pharmasave - Walkerton (Pellow),519-881-0151,rcurrie@pellowpharmasave.com,232 Durham St EWalkerton  ONN0G 2V0,pharmasave.com/store/pharmasave-pellows/
Pharmasave - Wingham (Brown's),519-357-1629,hanytadros652@gmail.com,198 Josephine StWingham  ONN0G 2W0,pharmasave.com/store/pharmasave-james-brown-pharma...
Pharmasave - Woodstock (Lakeview),519-539-7777,,805 Vansittart Ave  Unit 2Woodstock  ONN4T 0L6,www.pharmasave.com/woodstock-lakeview
Pharmasave - Woodstock (Springbank Dispensary),519-539-4888,,35 Springbank AveWoodstock  ONN4S 7P6,pharmasave.com/store/pharmasave-springbank/
Pharmasave - Woodstock - Huron St Dispensary,519-539-2888,ps937@thedispensary.ca,95 Huron StWoodstock  ONN4S 6Z5,pharmasave.com/store/pharmasave-huron-street/
Pharmasave - Woodstock - Ingersoll Ave (The Dispensary),519-539-8528,,McKinney Medical Centre510 Ingersoll Ave  Suite 105Woodstock  ONN4S 4X9,pharmasave.com/store/pharmasave-the-dispensary/
Pharmasave - Woodstock General Hospital,519-421-4272,pharmasavewgh@gmail.com,310 Juliana Dr  Suite 1Woodstock  ONN4V 0A4,wgh.on.ca/display/PV/Pharmasave
Phillbrook Pharmacy,519-434-3555,phillbrookpharmacy@gmail.com,1599 Adelaide St N  Unit 105London  ONN5X 4E8,
Pond Mills Medical Pharmacy,519-649-1414,,1166 Commissioners Rd ELondon  ONN5Z 4W8,
Precise Pharmacy - London,519-432-3686,london@precisepharmacy.com,813 Richmond StLondon  ONN6A 3H6,london.precisepharmacy.com
Progressive Drug Mart - London - Dundas St E (Argyle),519-457-9505,,1920 Dundas St ELondon  ONN5V 3P1,
Progressive Drug Mart - London - Huron St (Huron Heights),519-951-1888,,1326 Huron St  Suite 2London  ONN5V 2E2,
Real Canadian Superstore DRUGStore Pharmacy - London - Oxford St E,519-434-5411,phr01091@loblaw.ca,825 Oxford St ELondon  ONN5Y 3J8,www.realcanadiansuperstore.ca/store-locator/detail...
Real Canadian Superstore DRUGStore Pharmacy - London - Oxford St W,519-641-0959,phr02812@loblaw.ca,1205 Oxford St WLondon  ONN6H 1V9,www.realcanadiansuperstore.ca/store-locator/detail...
Real Canadian Superstore DRUGStore Pharmacy - St Thomas,519-637-7106,phar00551@loblaw.ca,1063 Talbot StSt Thomas  ONN5P 1G4,www.realcanadiansuperstore.ca/store-locator/detail...
Real Canadian Superstore DRUGStore Pharmacy - Strathroy,519-246-1884,phr02823@loblaw.ca,626 Victoria StStrathroy  ONN7G 3C1,www.realcanadiansuperstore.ca/store-locator/detail...
Remedy'sRx Pharmacy - Ingersoll,519-425-2118,remedysrx443@remedysrxsp.ca,Trembletts Independent Grocer273 King St WIngersoll  ONN5C 2K9,www.remedys.ca/en/ontario/ingersoll/rx-drug-mart-i...
Remedy'sRx Pharmacy - Listowel,519-291-5311,,600 Mitchell Rd (Hwy 23 S)Listowel  ONN4W 3T1,www.remedys.ca/en/ontario/listowel/rx-drug-mart-li...
Remedy'sRx Pharmacy - London - Commissioners Rd W (Byron Community Pharmacy),519-601-4771,byronpharmacy2018@gmail.com,1304 Commissioners Rd W  Unit 1London  ONN6K 1E1,www.remedys.ca/en/ontario/london/byron-community-p...
Remedy'sRx Pharmacy - London - Farnham Rd (Axis Westmount),519-657-9865,,1005 Farnham RdLondon  ONN6K 1S3,www.remedys.ca/en/ontario/london/westmount-pharmac...
Remedy'sRx Pharmacy - London - Hyde Park Rd,519-266-3542,pharmacy@sclondon.ca,c/o Bhavesh Patel1635 Hyde Park RdLondon  ONN6H 5L7,www.remedys.ca/en/ontario/london/synergy-remedys-r...
Remedy'sRx Pharmacy - Tara,519-934-3333,taratownpharmacy@gmail.com,33 Yonge St NTara  ONN0H 2N0,www.remedys.ca/en/ontario/tara/tara-pharmacy-70253...
Remedy'sRx Pharmacy - Tillsonburg,519-842-2220,,Norfolk Mall400 Simcoe StTillsonburg  ONN4G 4X1,www.remedys.ca/en/ontario/tillsonburg/remedysrx-ti...
Remedy'sRx Pharmacy - Wingham (Royal Oaks Pharmacy),519-912-2222,royaloakspharmacy@remedysrx.ca,Royal Oaks Health and Wellness Centre131 John St EWingham  ONN0G 2W0,www.remedys.ca/en/ontario/wingham/royal-oaks-remed...
Remedy'sRx Pharmacy - Woodstock (All About Health),519-537-8988,info@allabouthealthrx.ca,360 Norwich Ave  Unit 3Woodstock  ONN4S 3W2,www.allabouthealthrx.ca
