Store,phone,email,address,website
CENPRO Pharmacy,519-759-1640,cenpro76@hotmail.com,72 Brant AveBrantford  ONN3T 5Z8,cenpropharmacy.weebly.com
Centennial Pharmaserve - Hamilton,905-560-1293,,68 Centennial Pkwy NHamilton  ONL8E 1H6,
Charing Cross Pharmacy,519-750-1500,,124 Charing Cross StBrantford  ONN3R 2J1,www.brantfordmedicalpharmacy.ca/contact-us
Charlton Health - Hamilton,905-526-7002,,25 Charlton Ave E  Unit 101Hamilton  ONL8N 1Y2,www.charltonhealthcare.com
Charlton Pharmacy,289-389-7393,charlton.hamilton@gmail.com,232 James St SHamilton  ONL8P 3B3,www.charltonmedicalcentre.com/?page=pharmacy
Chez Pharmacy,905-633-9939,,3230 Fairview St  Unit 2006Burlington  ONL7N 3H5,
City Pharmacy,905-545-1411,samydrugmart@gmail.com,1523 Barton St EHamilton  ONL8H 2X5,
Classic Care Pharmacy,905-631-9027,info-burlington@classiccare.ca,1320 Heine CourtBurlington  ONL7L 6L9,
Concession Medical Pharmacy,905-387-7125,,444 Concession St  Unit 101Hamilton  ONL9A 1C2,www.concessionpharmacy.ca
Costco Pharmacy - Ancaster,905-304-2451,,100 Legend CourtAncaster  ONL9K 1J3,www.costco.ca/warehouse-locations/ancaster-on-1105...
Costco Pharmacy - Burlington,905-336-9660,,1225 Brant StBurlington  ONL7P 1X7,www.costco.ca/warehouse-locations/burlington-on-bu...
Costco Pharmacy - St Catharines,905-646-6689,,3 North Service RdSt Catharines  ONL2N 7R1,www.costco.ca/warehouse-locations/st-catharines-on...
Costco Pharmacy - Stoney Creek,289-335-4830,,1330 South Service RdStoney Creek  ONL8E 5C5,www.costco.ca/warehouse-locations/stoney-creek-on-...
Court Street Pharmacy,905-346-1100,9courtstreetpharmacy@gmail.com,9 Court StSt Catharines  ONL2R 4R3,www.courtstreetpharmacy.com
Crown Point Pharmacy,289-389-4411,info@crownpointpharmacy.com,45 Kenilworth Ave NHamilton  ONL8H 4R4,crownpointpharmacy.com
Daniel Drug Mart - Hamilton - Upper Gage Ave (Stone Church),905-383-7222,,1394 Upper Gage Ave  Unit 6Hamilton  ONL8W 1E7,
Daniel Drug Mart - Hamilton - Upper James St,905-318-3668,,547 Upper James St  Unit DHamilton  ONL9C 2Y5,
Danmar Pharmacy,905-578-2665,,205 Quigley Rd  Unit 8Hamilton  ONL8K 5M8,
Dover Apothecary,519-583-3784,,328 Main StPort Dover  ONN0A 1N0,www.dover-apothecary.ca
Dundas Community Pharmacy,905-627-2500,dundascommunitypharmacy@gmail.com,92 Main StDundas  ONL9H 2R1,www.dundascommunitypharmacy.blogspot.ca
East Main Pharmacy,905-735-1500,,816 East Main StWelland  ONL3B 3Y7,www.eastmainpharmacy.ca
East Waterdown Pharmacy,289-895-9393,,419 Dundas St E  Unit 11Waterdown  ONL8B 0K4,www.eastwaterdownmedical.com/pharmacy
Eastmount Pharmacy,289-755-4427,,788 Upper Ottawa St  Unit 9Hamilton  ONL8T 3V2,
Fairview Pharmacy,905-333-5668,,2200 Fairview St  Unit 101Burlington  ONL7R 4H9,
Falls Pharmacy,905-354-3883,,6635 Drummond RdNiagara Falls  ONL2G 4N4,www.fallspharmacy.com
Fletcher Pharmacy,905-692-4444,,1962 Rymal Rd E  Unit 2Hannon  ONL0R 1P0,www.fletchermedicalcentre.com
Food and Drug Basics Pharmacy - Burlington - Fairview St,905-634-2391,,3365 Fairview StBurlington  ONL7N 3N9,www.foodbasics.ca/find-your-food-basics.en.html?se...
Food and Drug Basics Pharmacy - Hamilton - Barton St E,905-578-5454,,2500 Barton St EHamilton  ONL8E 4A2,www.foodbasics.ca/find-your-food-basics.en.html?se...
Food and Drug Basics Pharmacy - Hamilton - Upper James St,905-575-7755,,751 Upper James StHamilton  ONL9C 3A1,www.foodbasics.ca/find-your-food-basics.en.html?se...
Food and Drug Basics Pharmacy - Niagara Falls,905-356-1100,,3770 Montrose RdNiagara Falls  ONL2H 3K3,www.foodbasics.ca/find-your-food-basics.en.html?se...
Food and Drug Basics Pharmacy - St Catharines,905-935-3404,,275 Geneva StSt Catharines  ONL2N 2E9,www.foodbasics.ca/find-your-food-basics.en.html?se...
Fortinos DRUGStore Pharmacy - Ancaster - Wilson St W,905-304-5749,,54 Wilson St WAncaster  ONL9G 1N2,www.fortinos.ca/store-locator/details/0086
Fortinos DRUGStore Pharmacy - Burlington - Appleby Line,905-319-0366,,2515 Appleby LineBurlington  ONL7L 0B6,www.fortinos.ca/store-locator/details/1435
Fortinos DRUGStore Pharmacy - Burlington - Guelph Line (Upper Middle),905-336-1112,,2025 Guelph LineBurlington  ONL7P 4M8,www.fortinos.ca/store-locator/details/0526
Fortinos DRUGStore Pharmacy - Burlington - New St,905-631-0566,,5111 New StBurlington  ONL7L 1V2,www.fortinos.ca/store-locator/details/2268
Fortinos DRUGStore Pharmacy - Burlington - Plains Rd E,905-634-2739,,1059 Plains Rd EBurlington  ONL7T 4K1,www.fortinos.ca/store-locator/details/0078
Fortinos DRUGStore Pharmacy - Hamilton - Centennial Pkwy N (Eastgate),905-561-1529,,75 Centennial Pkwy NHamilton  ONL8E 2P2,www.fortinos.ca/store-locator/details/0300
Fortinos DRUGStore Pharmacy - Hamilton - Dundurn St S,905-529-9135,,50 Dundurn St S  Unit BHamilton  ONL8P 4W3,www.fortinos.ca/store-locator/details/2265
Fortinos DRUGStore Pharmacy - Hamilton - Main St W,905-308-9339,,1579 Main St WHamilton  ONL8S 1E6,www.fortinos.ca/store-locator/details/0067
Fortinos DRUGStore Pharmacy - Hamilton - Mall Rd,905-574-5939,,65 Mall RdHamilton  ONL8V 5B5,www.fortinos.ca/store-locator/details/0048
Fortinos DRUGStore Pharmacy - Stoney Creek - Hwy 8 (Fiesta Mall),905-664-4232,,102 Hwy 8Stoney Creek  ONL8G 4H3,www.fortinos.ca/store-locator/details/0097
Fortinos DRUGStore Pharmacy - Stoney Creek - Upper Centennial Pkwy,905-664-6778,,21 Upper Centennial Pkwy SStoney Creek  ONL8J 3W2,www.fortinos.ca/store-locator/details/0046
Fortinos DRUGStore Pharmacy - Waterdown - Hamilton St N,905-690-4469,,115 Hamilton St NWaterdown  ONL0R 2H6,www.fortinos.ca/store-locator/details/1434
Fresenius Kabi Compounding Solutions - Hamilton - Brockley Dr,1-877-821-7724,canada_customerservice@fresenius-kabi.com,41 Brockley DrHamilton  ONL8E 3P1,www.fresenius-kabi.com/en-ca/products/compounding-...
FreshCo Pharmacy - Brantford - Market St S,519-759-6997,,50 Market St SBrantford  ONN3S 2E3,www.freshco.com/stores/market-icomm
FreshCo Pharmacy - Niagara Falls,905-371-8925,,5931 Kalar RdNiagara Falls  ONL2H 0L4,www.freshco.com/stores/kalar-lundys-lane
Fruitland Pharmacy,905-643-8181,,311 Fruitland Rd  Unit 1Stoney Creek  ONL8E 5M8,
Garden City Pharmacy,905-704-1200,,68 St Paul St WSt Catharines  ONL0S 1E5,www.garden-city-pharmacy.ca
Goldencare Pharmacy - Burlington,905-639-2222,goldencare_ph@hotmail.com,Joseph Brant Hospital1230 North Shore Blvd EBurlington  ONL7S 1C4,www.goldencarepharmacy.ca
Goldencare Pharmacy - Niagara Falls,905-354-0077,goldencare_ph@hotmail.com,Niagara Health System - Greater Niagara General5546 Portage RdNiagara Falls  ONL2E 6X2,www.goldencarepharmacy.ca
Gordon's Pharmacy,905-544-4631,,1511 Main St EHamilton  ONL8K 1E2,
Grand River Clinic and Pharmacy,Clinic: 519-756-1741Pharmacy: 519-428-3329,,423 Colborne St EBrantford  ONN3S 3N5,www.grandriverpharmacybrantford.ca/brantford
Greater Niagara Pharmacy,905-356-3800,ash@greaterniagarapharmacy.com,5547 Portage RdNiagara Falls  ONL2G 1J7,www.greaterniagarapharmacy.com
Guardian Pharmacy - Brantford - King George Rd (Brant Pharmacy),519-304-3646,,265 King George Rd  Unit 104Brantford  ONN3R 5L5,www.guardian-ida-pharmacies.ca/en/ontario/brantfor...
Guardian Pharmacy - Brantford - West St (Guardian Discount Pharmacy),519-752-3104,guardiandiscountpharmacy@gmail.com,484 West StBrantford  ONN3R 3N7,www.guardian-ida-pharmacies.ca/en/ontario/brantfor...
Guardian Pharmacy - Burlington - Brant St (St Joseph's Pharmacy),905-639-0906,,906 Brant StBurlington  ONL7R 2J5,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Burlington - Dundas St (Bonavista Pharmacy),289-337-2622,,5220 Dundas StBurlington  ONL7L 0J4,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Burlington - Fairview St (Morelli's Pharmacy),905-333-5537,,Longo's Fairview1225 Fairview StBurlington  ONL7S 1Y3,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Burlington - Plains Rd E (Aldershot Pharmacy),905-681-7100,aldershotguardian@hotmail.com,185 Plains Rd E  Units 2 and 3Burlington  ONL7T 2C4,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Burlington - Walkers Line (Morelli's Pharmacy),905-331-4554,,Longo's2900 Walkers LineBurlington  ONL7M 4M8,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Burlington - Walkers Line (Mountainside Pharmacy),905-336-2212,mountainsiderx@gmail.com,1900 Walkers Line  Unit 3Burlington  ONL7M 4W5,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
Guardian Pharmacy - Grimsby (Orchardview Pharmacy),905-945-6088,,155 Main St E  Unit 107Grimsby  ONL3M 1P2,www.guardian-ida-pharmacies.ca/en/ontario/grimsby/...
Guardian Pharmacy - Hamilton -  King St E (First Place Pharmacy),905-540-8877,firstplacepharmacy@hotmail.com,350 King St E  Suite 117Hamilton  ONL8N 3Y3,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Cannon St (Hamilton Downtown Pharmacy),905-522-0003,hdtpharmacy@gmail.com,52 Cannon St WHamilton  ONL8R 2B5,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Concession St (Smile Pharmacy),905-385-4334,,525 Concession StHamilton  ONL8V 1A7,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - James St S (Sutherland Pharmacy),905-527-4561,,180 James St SHamilton  ONL8P 4V1,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Queenston Rd (Bonavista Pharmacy),289-389-3131,,360 Queenston RdHamilton  ONL8K 1H8,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Redmond Dr (Stonechurch Compounding Pharmacy),905-574-2828,info@stonechurchpharmacy.com,25 Redmond Dr  Unit 3Hamilton  ONL8W 3K7,www.stonechurchpharmacy.com
Guardian Pharmacy - Hamilton - Upper Ottawa St (Hamilton Care Pharmacy),289-755-0142,hamiltoncarepharmacy@gmail.com,969 Upper Ottawa St  Unit 11Hamilton  ONL8T 4V9,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Upper Wentworth St (Limeridge Medical Pharmacy),905-574-5333,,Wentworth Limeridge Med Centre849 Upper Wentworth StHamilton  ONL9A 5H4,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Victoria Ave N (Victoria Pharmacy),905-526-1500,,Victoria Medical Bldg304 Victoria Ave NHamilton  ONL8L 5G4,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Hamilton - Winterberry Dr (Silver Creek),905-667-4640,,Heritage Greene Professional Arts Bldg325 Winterberry Dr  Suite 104Hamilton  ONL8J 0B6,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
Guardian Pharmacy - Smithville (Rx Drug Mart),905-957-3943,,144 Griffin StSmithville  ONL0R 2A0,www.guardian-ida-pharmacies.ca/en/ontario/smithvil...
Guardian Pharmacy - Stoney Creek -  Barton St E (Vitacare Pharmacy),905-930-9877,,198 Barton St  Unit 1Stoney Creek  ONL8E 2K2,vitacarerx.ca
Guardian Pharmacy - Stoney Creek - Queenston Rd (Friendly Pharmacy),905-662-8988,,800 Queenston Rd  Unit 4Stoney Creek  ONL8G 1A7,www.guardian-ida-pharmacies.ca/en/ontario/stoney-c...
Hamilton Clinic Pharmacy,905-523-4367,,200 Main St E  Lower LevelHamilton  ONL8N 1H3,
Hamilton Community Pharmacy,905-529-1027,,414 Victoria Ave N  Unit M15Hamilton  ONL8L 5G8,
Hamilton General Drugstore,905-577-8259,,237 Barton St EHamilton  ONL8L 2X2,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Pharmacy,905-521-2100,,237 Barton St EHamilton  ONL8L 2X2,www.hamiltonhealthsciences.ca/about-us/our-organiz...
Pharmacy,905-575-6320,pharmacy@jcc.hhsc.ca,699 Concession StHamilton  ONL8V 5C2,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Pharmacy,Main Information Desk: 905-521-2100,,711 Concession StHamilton  ONL8V 1C3,
McMaster Drugstore,905-521-5019,pharoutmumc@hhsc.ca,1200 Main St WHamilton  ONL8N 3Z5,www.hamiltonhealthsciences.ca/areas-of-care/progra...
Pharmacy,Main Information Desk: 905-521-2100,,1200 Main St WHamilton  ONL8N 3Z5,
Pharmacy,905-777-3837,,88 Maplewood AveHamilton  ONL8M 1W9,
Hamilton Pharmacy (The),289-389-2224,,335 Queenston RdHamilton  ONL8K 1H7,
Hauser's Pharmacy - Dunnville - Broad St E,905-774-7331,,140 Broad St EDunnville  ONN1A 1E9,www.hauserspharmacy.com
Hauser's Pharmacy - Hamilton,905-381-4420,,1010 Upper Wentworth StHamilton  ONL9A 4V9,www.hauserspharmacy.com
Hauser's Pharmacy - St Catharines,905-685-3030,,Niagara Health System - St Catharines Site1200 Fourth AveSt Catharines  ONL2S 0A9,www.hauserspharmacy.com
HD Pharmacy,905-667-0291,,77 Hunter St E  Unit 75Hamilton  ONL8N 1M4,
Health-Wise Pharmacy,905-643-7676,info@healthwiseclinic.ca,15 Lockport Way  Unit 2Stoney Creek  ONL8E 0H8,www.healthwiseclinic.ca
Healthshare Medical Pharmacy,905-389-8080,,574 Upper James StHamilton  ONL9C 2Y6,
Henderson Arts Pharmacy,905-383-9370,,662 Concession StHamilton  ONL8V 1B8,
Hodgins Pharmacy,905-945-2206,,37 Main St EGrimsby  ONL3M 1M7,
Holy Family Pharmacy,905-315-8000,holyfamilypharmacy@gmail.com,2180 Itabashi Way  Unit B2Burlington  ONL7M 5A5,
Hope Pharmacy - Simcoe,226-400-9040,,80 Norfolk St SSimcoe  ONN3Y 2W2,
Hope Pharmacy - St Catharines,289-273-4561,,7 Welland AveSt Catharines  ONL2R 2L8,
IDA Pharmacy - Brantford (Hope Pharmacy),519-751-3700,,349 Colborne StBrantford  ONN3S 3N2,www.guardian-ida-pharmacies.ca/en/ontario/brantfor...
IDA Pharmacy - Burlington - 1505 Guelph Line (Burlington Heights),905-331-3338,burlingtonheights.ida@gmail.com,1505 Guelph Line  Unit 17Burlington  ONL7P 3B6,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - 701 Guelph Line (Burlington Drug Mart),905-634-0770,,701 Guelph LineBurlington  ONL7R 3M7,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - Appleby Line (St Mary Pharmacy),905-315-8008,st.maryida@gmail.com,1893 Appleby LineBurlington  ONL7L 0G5,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - Brant St (Brant Arts IDA Dispensary),905-637-3833,consultations@brantarts.ca,Brant Arts Medical Building672 Brant StBurlington  ONL7R 2H3,www.brantarts.ca
IDA Pharmacy - Burlington - Maple Ave (Maple IDA Pharmacy),905-333-0031,,573 Maple Ave  Unit 1Burlington  ONL7S 2E8,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - Mount Forest Dr (Mount Royal Pharmacy),905-332-8893,,2047 Mount Forest DrBurlington  ONL7P 1H4,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - Thomas Alton Blvd (MedProHealth),905-336-0999,info@medprohealth.ca,4903 Thomas Alton Blvd  Unit 104Burlington  ONL7M 0W8,www.guardian-ida-pharmacies.ca/en/ontario/burlingt...
IDA Pharmacy - Burlington - Upper Middle Rd (Lotus Pharmacy),289-636-1433,info@lotuspharmacy.ca,4100 Upper Middle RdBurlington  ONL7M 4W8,www.lotuspharmacy.ca
IDA Pharmacy - Cayuga,905-772-3503,,18 Talbot St ECayuga  ONN0A 1E0,www.guardian-ida-pharmacies.ca/en/ontario/cayuga/c...
IDA Pharmacy - Delhi (Roulston's),519-582-1800,,123 King StDelhi  ONN4B 1X9,www.guardian-ida-pharmacies.ca/en/ontario/delhi/ro...
IDA Pharmacy - Dundas (Lee's Dundas Pharmacy),905-627-4584,leesdundas@gmail.com,58 King St EDundas  ONL9H 1B8,www.guardian-ida-pharmacies.ca/en/ontario/dundas/l...
IDA Pharmacy - Fonthill (Boggio),905-892-4994,fonthill@boggios.com,155 Hwy 20 WFonthill  ONL0S 1E0,www.boggios.com
IDA Pharmacy - Grimsby (Boggio),289-447-0134,grimsby@boggios.com,80 Main St WGrimsby  ONL3M 1R6,www.boggios.com
IDA Pharmacy - Hagersville (Cavanagh Apothecary),905-768-3391,,6 Main St S  PO Box 189Hagersville  ONN0A 1H0,www.guardian-ida-pharmacies.ca/en/ontario/hagersvi...
IDA Pharmacy - Hamilton - Barton St E (New Day Barton),289-799-2133,newdaybarton@gmail.com,664 Barton St EHamilton  ONL8L 3A4,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - Colbourne St (North End Farmacia),905-526-6464,,3 Colbourne StHamilton  ONL8R 2G2,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - Fennell Ave E (Samy's Mountain Pharmacy),905-383-2273,,550 Fennell Ave E  Unit 6BHamilton  ONL8V 4S9,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - James St N (City Centre),905-540-4432,,77 James St N  Unit 131Hamilton  ONL8R 2K3,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - John St S (John Drug Mart),905-526-0110,,225 John St SHamilton  ONL8N 2C7,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - Rymal Rd W (Village Pharmacy),905-385-1975,,393 Rymal Rd WHamilton  ONL9B 1V2,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - Upper Gage Ave (Gage Pharmacy),289-755-6000,gagepharmacy1@gmail.com,1050 Upper Gage Ave  Unit 8Hamilton  ONL8V 5B7,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Hamilton - Upper James St (Hamilton Medical Pharmacy),905-387-5100,,Canada Trust Plaza836 Upper James St  Unit 114Hamilton  ONL9C 3A4,www.guardian-ida-pharmacies.ca/en/ontario/hamilton...
IDA Pharmacy - Jarvis (Cavanagh Pharmacy),519-587-4553,,2121 Main St NJarvis  ONN0A 1J0,www.guardian-ida-pharmacies.ca/en/ontario/jarvis/c...
IDA Pharmacy - Niagara Falls - Drummond Rd (Boggio and MacKinnon Pharmacy),905-354-1812,niagarafalls@boggios.com,6680 Drummond RdNiagara Falls  ONL2G 4P1,www.boggios.com
IDA Pharmacy - Niagara Falls - Main St (Niagara Pharmacy),289-296-2845,,3700 Main StNiagara Falls  ONL2G 6A8,www.guardian-ida-pharmacies.ca/en/ontario/niagara-...
IDA Pharmacy - Niagara Falls - Montrose Rd (Meadows Pharmacy),905-357-6577,montrose@meadowsida.com,Mount Carmel Centre3770 Montrose RdNiagara Falls  ONL2H 3K3,www.meadowsida.com
IDA Pharmacy - Niagara Falls - Thorold Stone Rd (Meadows Pharmacy),905-354-3023,,6161 Thorold Stone RdNiagara Falls  ONL2J 1A4,www.meadowsida.com
IDA Pharmacy - Port Colborne (Boggio),905-834-3514,port@boggios.com,200 Catharine StPort Colborne  ONL3K 4K8,www.boggios.com
IDA Pharmacy - Port Dover (Roulston's Pharmacy),519-583-2100,,414 Main StPort Dover  ONN0A 1N0,www.guardian-ida-pharmacies.ca/en/ontario/port-dov...
IDA Pharmacy - Ridgeway (Boggio and Edwards Pharmacy),905-894-2200,ridgeway@boggios.com,307 Ridge Rd NRidgeway  ONL0S 1N0,www.boggios.com
IDA Pharmacy - Simcoe - Donly Dr N (Roulston's Pharmacy),519-426-8011,,65 Donly Dr NSimcoe  ONN3Y 0C2,www.guardian-ida-pharmacies.ca/en/ontario/simcoe/r...
IDA Pharmacy - Simcoe - Norfolk St S (Roulston's Pharmacy),519-426-1731,,17 Norfolk St SSimcoe  ONN3Y 2V8,www.guardian-ida-pharmacies.ca/en/ontario/simcoe/r...
IDA Pharmacy - St Catharines - Bunting Rd (HealthMax Pharmacy),905-938-0001,,366 Bunting Rd  Unit 1St Catharines  ONL2M 7Z1,www.guardian-ida-pharmacies.ca/en/ontario/st-catha...
IDA Pharmacy - St Catharines - Martindale Rd,905-685-7117,,211 Martindale RdSt Catharines  ONL2N 3V7,www.guardian-ida-pharmacies.ca/en/ontario/st-catha...
IDA Pharmacy - St Catharines - Welland Ave (Mapleland Pharmacy),905-641-4440,,120 Welland Ave  Unit 10BSt Catharines  ONL2R 2N3,www.guardian-ida-pharmacies.ca/en/ontario/st-catha...
IDA Pharmacy - Vineland (Hopkins Pharmacy),905-562-4661,,3387 King StVineland  ONL0R 2C0,www.guardian-ida-pharmacies.ca/en/ontario/vineland...
IDA Pharmacy - Waterdown,905-689-0999,waterdownpharmacy@gmail.com,145 Hamilton St N  Unit 4/5Waterdown  ONL8B 1A8,www.guardian-ida-pharmacies.ca/en/ontario/waterdow...
Innomar Specialty Pharmacy - Burlington,905-681-8022,specialtypharmacy@innomar-strategies.com,3250 Harvester Rd  Unit 4Burlington  ONL7N 3W9,www.innomar-strategies.com/our-integrated-model/ph...
Integrity Pharmacy,519-751-0044,,233 Colborne St  Unit 401Brantford  ONN3T 2H4,
James Street Medical Pharmacy,905-572-6565,,206 James St SHamilton  ONL8P 3A9,
Jasmin Pharmacy,289-245-1215,,1900 Appleby Line  Unit 1Burlington  ONL7L 0B1,jasminpharmacymedical.ca
King Elm Pharmacy,905-662-3222,,49 King St EStoney Creek  ONL8G 1J9,
King Medical Pharmacy - Hamilton - King St W,905-523-8388,info@kingmedicalpharmacy.com,505 King St W  Unit 5Hamilton  ONL8P 1B9,www.kingmedicalpharmacy.com
King St Pharmacy,905-988-1286,,110 King StSt Catharines  ONL2R 3H8,
King Street Medical Pharmacy - Hamilton - King St E,905-544-9312,,987 King St EHamilton  ONL8M 1C6,
King Street Pharmacy,289-389-7693,kingstreetpharmacist@gmail.com,189 King St EHamilton  ONL8N 1B3,
Kingmount Pharmacy,905-664-2900,,34 King St EStoney Creek  ONL8G 1J8,
Kohler Drug Store,905-527-1716,pharmacy@kohlerdrugstore.com,574 James St N  Unit 2Hamilton  ONL8L 1J7,www.kohlerdrugstore.ca
Lakeside Health Pharmacy,289-649-0005,,825 North Service Rd  Unit 104BStoney Creek  ONL8E 0J7,www.lakesidehealthcentre.ca
Life Care Medical Pharmacy,905-545-1103,,280 Queenston RdHamilton  ONL8K 1H1,
LimeGarth Pharmacy,905-387-0020,,310 Limeridge Rd W  Unit 8AHamilton  ONL9C 2V2,www.limeridgehealthcentre.com
Linwell Medical Pharmacy,905-938-0147,,Linwell Medical Centre282 Linwell RdSt Catharines  ONL2N 6N5,
LiveWell Pharmacy,289-296-0900,livewellpharmacyniagara@gmail.com,3531 Portage RdNiagara Falls  ONL2J 2K5,
LSV Pharmacy,289-288-0600,lsvpharmacy@gmail.com,4057 New StBurlington  ONL7L 1S8,www.lsvpharmacy.com
Mahdieh's Pharmacy,905-735-3800,,95 Lincoln St  Unit 16Welland  ONL3C 7C3,mahdiehspharmacy.com
Main Health Pharmacy,289-396-4700,mainhealthpharmacy@gmail.com,460 Main St E  Unit 102Hamilton  ONL8N 1K4,www.mainhealthpharmacy.com
Main Medical Centre Pharmacy,905-546-1000,,554 Main St E  2nd FlHamilton  ONL8M 1J3,
Maple Mews Pharmacy,905-802-4832,,1235 Fairview St  Unit 11Burlington  ONL7S 2H9,
Matheson's Drug Store,905-835-0000,,427 Steele StPort Colborne  ONL3K 4Y2,
McKnight's Pharmacy,905-545-7474,mcknightspharmacy@gmail.com,685 Main St EHamilton  ONL8M 1K4,www.mcknightsdrugs.com
McMaster Health Campus Pharmacy,905-540-1613,,100 Main St W  Unit 1004AHamilton  ONL8P 1H6,www.mcmasterhealthcampuspharmacy.ca
MedCare Drug Mart - Niagara Square,289-292-0430,niagara@medcaredrugmart.com,7555 Montrose Rd  Unit E2Niagara Falls  ONL2H 2E9,www.medcaredrugmart.com
